phase,retry_subsets,requested_accesses,issued_groups,mean_active_lanes,lane_utilization,full_four_lane_fraction,estimated_cycles
check,0,3024,1296,2.3333333333333335,0.5833333333333334,0.3333333333333333,2737
variable,456,4608,3336,1.381294964028777,0.34532374100719426,0.0,7477
convergence,138,2160,1146,1.8848167539267016,0.4712041884816754,0.1343804537521815,3295
relay_init,218,2592,866,2.9930715935334873,0.7482678983833718,0.5011547344110855,2383
all_phases_once,812,12384,6644,1.863937387116195,0.46598434677904876,0.1535219747140277,15892
