phase,retry_subsets,requested_accesses,issued_groups,mean_active_lanes,lane_utilization,full_four_lane_fraction,estimated_cycles
check,0,3024,1296,2.3333333333333335,0.5833333333333334,0.3333333333333333,2737
variable,2,4608,2882,1.5988896599583622,0.39972241498959055,0.0,6342
convergence,53,2160,1061,2.0358152686145146,0.5089538171536286,0.22431668237511782,3040
relay_init,158,2592,806,3.2158808933002483,0.8039702233250621,0.6116625310173698,2203
all_phases_once,213,12384,6045,2.04863523573201,0.5121588089330025,0.1923904052936311,14322
