decoder,shot,converged,iterations,legs,successful_legs,selected_weight,candidate_weights,sampled_error_weight,syndrome_weight
uniform_mem_bp,20,1,10,1,1,52.1414803475291,[52.1414803475291],15,37
uniform_mem_bp,21,1,5,1,1,27.808789518682186,[27.808789518682186],8,24
uniform_mem_bp,22,1,3,1,1,34.76098689835273,[34.76098689835273],10,26
uniform_mem_bp,23,1,3,1,1,31.284888208517458,[31.284888208517458],9,21
uniform_mem_bp,24,1,2,1,1,13.904394759341093,[13.904394759341093],4,10
uniform_mem_bp,25,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
uniform_mem_bp,26,1,3,1,1,27.808789518682186,[27.808789518682186],8,20
uniform_mem_bp,27,1,2,1,1,27.808789518682186,[27.808789518682186],8,22
uniform_mem_bp,28,1,7,1,1,34.76098689835273,[34.76098689835273],10,24
uniform_mem_bp,29,1,14,1,1,52.1414803475291,[52.1414803475291],15,41
uniform_mem_bp,30,1,5,1,1,45.18928296785855,[45.18928296785855],13,31
uniform_mem_bp,31,1,3,1,1,34.76098689835273,[34.76098689835273],10,28
uniform_mem_bp,32,1,4,1,1,34.76098689835273,[34.76098689835273],10,28
uniform_mem_bp,33,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
uniform_mem_bp,34,1,3,1,1,20.85659213901164,[20.85659213901164],6,18
uniform_mem_bp,35,1,7,1,1,45.18928296785855,[45.18928296785855],13,35
uniform_mem_bp,36,1,7,1,1,20.85659213901164,[20.85659213901164],6,14
uniform_mem_bp,37,1,18,1,1,59.09367772719965,[59.09367772719965],17,45
uniform_mem_bp,38,1,4,1,1,34.76098689835273,[34.76098689835273],10,24
uniform_mem_bp,39,1,1,1,1,10.42829606950582,[10.42829606950582],3,7
uniform_mem_bp,40,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
uniform_mem_bp,41,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
uniform_mem_bp,42,1,14,1,1,45.18928296785855,[45.18928296785855],13,25
uniform_mem_bp,43,1,5,1,1,45.18928296785855,[45.18928296785855],13,33
uniform_mem_bp,44,1,5,1,1,45.18928296785855,[45.18928296785855],13,33
uniform_mem_bp,45,1,4,1,1,27.808789518682186,[27.808789518682186],8,24
uniform_mem_bp,46,1,19,1,1,45.18928296785855,[45.18928296785855],13,25
uniform_mem_bp,47,1,9,1,1,52.1414803475291,[52.1414803475291],15,39
uniform_mem_bp,48,1,2,1,1,17.380493449176367,[17.380493449176367],5,15
uniform_mem_bp,49,1,12,1,1,24.332690828846914,[24.332690828846914],7,15
uniform_mem_bp,50,1,8,1,1,38.23708558818801,[38.23708558818801],11,31
uniform_mem_bp,51,1,3,1,1,31.284888208517458,[31.284888208517458],9,25
uniform_mem_bp,52,1,2,1,1,10.42829606950582,[10.42829606950582],3,9
uniform_mem_bp,53,1,2,1,1,20.85659213901164,[20.85659213901164],6,16
uniform_mem_bp,54,1,2,1,1,20.85659213901164,[20.85659213901164],6,16
uniform_mem_bp,55,1,2,1,1,31.284888208517458,[31.284888208517458],9,27
uniform_mem_bp,56,1,8,1,1,31.284888208517458,[31.284888208517458],9,23
uniform_mem_bp,57,1,6,1,1,34.76098689835273,[34.76098689835273],10,22
uniform_mem_bp,58,1,2,1,1,24.332690828846914,[24.332690828846914],7,21
uniform_mem_bp,59,1,2,1,1,17.380493449176367,[17.380493449176367],5,15
uniform_mem_bp,60,1,5,1,1,38.23708558818801,[38.23708558818801],11,27
uniform_mem_bp,61,1,8,1,1,45.18928296785855,[45.18928296785855],13,29
uniform_mem_bp,62,1,5,1,1,41.71318427802328,[41.71318427802328],12,28
uniform_mem_bp,63,1,3,1,1,24.33269082884691,[24.33269082884691],7,19
relay_s1_positive_only,0,1,4,1,1,27.808789518682186,[27.808789518682186],8,22
relay_s1_positive_only,1,1,2,1,1,20.85659213901164,[20.85659213901164],6,16
relay_s1_positive_only,2,1,2,1,1,13.904394759341093,[13.904394759341093],4,10
relay_s1_positive_only,3,1,2,1,1,20.85659213901164,[20.85659213901164],6,18
relay_s1_positive_only,4,1,3,1,1,27.808789518682186,[27.808789518682186],8,24
