p,sample_seed,seed_index,shot,detector_sample_hash,logical_sample_hash,s0,s1,e0_syndrome_converged,e0_logical_correct,e0_syndrome_valid_logical_error,e0_non_convergence,e0_iterations,e0_legs,e0_weight,e0_natural_cycles,e0_result_cycles,e0_rng_words,e0_gamma_coefficients,e0_initial_rng_state,e0_final_rng_state,e1_syndrome_converged,e1_logical_correct,e1_syndrome_valid_logical_error,e1_non_convergence,e1_iterations,e1_legs,e1_weight,e1_natural_cycles,e1_result_cycles,e1_rng_words,e1_gamma_coefficients,e1_initial_rng_state,e1_final_rng_state,n1_cycles,n2_cycles,winner,same_cycle,global_failure,n2_syndrome_converged,n2_logical_correct,n2_syndrome_valid_logical_error,n2_non_convergence,parallel_rescue,early_wrong_risk,latency_reduction,relative_reduction,loser_quiescent_cycle,cleanup_cycles,avoided_loser_cycles,pair_reuse_cycle,n1_active_work,n2_active_work,e0_budget_reached,e1_budget_reached
0.003,20260809,0,10,74cd7c06b824e534bd8c45e1e264c9ce52a7ba58cec19468ec587f0fc3e8ea40,d8be982bac46c32cebc5f42e7df5a2f5d0baf5c7821794844d7245e09a297820,17802734268392651266,5614213855103928757,1,1,0,0,53,1,310.5067186071732,201843486,201843485,0,0,17802734268392651266,17802734268392651266,1,1,0,0,53,1,310.5067186071732,201843486,201843485,0,0,5614213855103928757,5614213855103928757,201843485,201843485,0,1,0,1,1,0,0,0,0,0,0.0,201843486,1,0,201843486,201843486,403686971,0,0
0.003,20260809,0,11,86b1e72bdd7a3bc17e9902fa39da1ee5f53148b72ccbaa649e9a8cd6751b4f7b,27a8ca63fa0ace2fd1e86616aad228e4d2800b73c2904b45263494aa240fba33,1621262887729756765,16128902808687320708,1,1,0,0,104,2,370.80811021566626,396137710,396137709,96066,67752,1621262887729756765,12833354884182939130,1,1,0,0,221,4,416.9150270315036,841558791,841558790,289000,203256,16128902808687320708,7141913970114311719,396137709,396137709,0,0,0,1,1,0,0,0,0,0,0.0,398626883,2489174,442931908,398626883,396137710,794764592,0,0
0.003,20260809,0,12,6bf3154165f98c3d4ecbe2b8864b80cecc0731d4daf243c7f0319201c1b169e2,dcc164ca1a8d04adc141925cddaa7a657a584a5cdef898a653578cef98b42d9a,15283566630660765739,12547269875732112094,1,1,0,0,60,1,409.8993753164099,228365009,228365008,0,0,15283566630660765739,15283566630660765739,1,1,0,0,60,1,409.8993753164099,228365009,228365008,0,0,12547269875732112094,12547269875732112094,228365008,228365008,0,1,0,1,1,0,0,0,0,0,0.0,228365009,1,0,228365009,228365009,456730017,0,0
0.003,20260809,0,13,aecba73662b2c8d627b9cd6498bfb4791a74e045fa35781b90a429953a77cfe9,cc3190ea3eb6962cf96fed801246a62c24df6a2d3d6ba156d005207e4b0b8c6f,14705238778227004122,15001961393019595652,1,1,0,0,181,3,437.69771024090545,688941112,688941111,192798,135504,14705238778227004122,3463258964696109380,1,1,0,0,660,11,438.1839452398897,2512301673,2512301672,964092,677520,15001961393019595652,6721669826651318544,688941111,688941111,0,0,0,1,1,0,0,0,0,0,0.0,691430285,2489174,1820871388,691430285,688941112,1380371396,0,0
0.003,20260809,0,14,af0b26c1726dad20783c55aaa1bd13c97656fa364102be4df433c5f1da7353a7,50d94398974ef01eea644f56c355d4f593a8e87e61f0b2b313844e06a690ec32,15725056645400374487,6712535225929805219,1,1,0,0,39,1,423.85757918949764,148800440,148800439,0,0,15725056645400374487,15725056645400374487,1,1,0,0,39,1,423.85757918949764,148800440,148800439,0,0,6712535225929805219,6712535225929805219,148800439,148800439,0,1,0,1,1,0,0,0,0,0,0.0,148800440,1,0,148800440,148800440,297600879,0,0
0.003,20260809,0,15,31d4658d6b8c26590a59d824d72aff23020648a8c8e726f3ea5a457ebb2dbb60,3ed9f6cd4fc370a9e555731712428f24a693cd85fe128c7f3ca78f76f3064c58,8289395461930775230,3610373903898914109,1,1,0,0,165,3,371.098524465134,628320182,628320181,192492,135504,8289395461930775230,6726455086033311123,1,1,0,0,200,3,381.75433268224754,760928017,760928016,192712,135504,3610373903898914109,16448398275956033227,628320181,628320181,0,0,0,1,1,0,0,0,0,0,0.0,630809355,2489174,130118662,630809355,628320182,1259129536,0,0
0.003,20260809,0,16,71b4ac9d521af4fd064a8244179223b0599783936c681f79ab6d37516eab2b5d,bcb06181dcb53f6d4173272c3a3841b2cb6bfe37e760adef26924917c0357197,3545954161664281249,14965624683064202006,1,1,0,0,226,4,468.98106312180346,860502695,860502694,288959,203256,3545954161664281249,6208480646687822029,1,1,0,0,160,3,446.9072307329536,609376021,609376020,192276,135504,14965624683064202006,6036337698512875879,860502694,609376020,1,0,0,1,1,0,0,0,0,251126674,0.29183717349291644,611865194,2489174,248637501,611865194,860502695,1221241214,0,0
0.003,20260809,0,17,066bc5a1d13d40260c14293e012163bbe2feb4dd935bc65bd0c2c4dafd245043,1d7edc3d9996b3b6711e175b36bbc970d5592d794894a3cc12c2e4a97e7f77de,1848792289959952852,8369804307740391728,1,1,0,0,58,1,294.5323698581094,220787431,220787430,0,0,1848792289959952852,1848792289959952852,1,1,0,0,58,1,294.5323698581094,220787431,220787430,0,0,8369804307740391728,8369804307740391728,220787430,220787430,0,1,0,1,1,0,0,0,0,0,0.0,220787431,1,0,220787431,220787431,441574861,0,0
0.003,20260809,0,18,9cc09e0332d748cb9d47f78665b951e384df14e15728e7bda46e2fd0215bdf3f,1c92f033fb8eabff5381b8eb26e5106d3b15acb67b35df470434501863d5c4b0,15462074353113131334,6948219666594607190,0,0,0,1,1940,32,,7384342706,7384342706,2986950,2100312,15462074353113131334,10360345463917232242,1,1,0,0,594,10,538.5117708697009,2261174640,2261174639,867050,609768,6948219666594607190,8027629547924732145,7384342706,2261174639,1,0,0,1,1,0,0,1,0,5123168067,0.6937879606856914,2263663813,2489174,5120678893,2263663813,7384342706,4524838452,1,0
0.003,20260809,0,19,42c349f05c56b8374e7a2e500010def90a08851cb4fa17e352aa4974e4f6d79c,cce19ce4564144ae6e2ea8f8549c79543b388607b6ef30ba9d8be01bdc7985a4,2400398014029770069,9790198515552160532,1,1,0,0,41,1,375.8485716269149,156378018,156378017,0,0,2400398014029770069,2400398014029770069,1,1,0,0,41,1,375.8485716269149,156378018,156378017,0,0,9790198515552160532,9790198515552160532,156378017,156378017,0,1,0,1,1,0,0,0,0,0,0.0,156378018,1,0,156378018,156378018,312756035,0,0
