sample_seed,shot,trajectory,shot_class,relay_leg,starting_residual,first_iteration_residual,minimum_residual,ending_residual,iterations_used,global_best_before,global_best_after,net_endpoint_improvement,new_global_best_improvement,decision_churn,residual_vector_movement,frozen_stagnation_steps,churning_stagnation_steps,marginal_saturation_hits,nu_saturation_hits,mu_saturation_hits,accumulator_saturation_hits,mean_marginal_sat_fraction,mean_marginal_near_zero_fraction,converged,category
20260812,14,E1,reverse_counterexample,13,9,876,5,10,60,1,1,-1,0,23400,6007,0,59,0,0,0,0,0.0,0.04160811980950132,0,stagnant
20260812,14,E1,reverse_counterexample,14,10,871,7,8,60,1,1,2,0,22091,6416,0,59,0,0,0,0,0.0,0.043714084701066636,0,stagnant
20260812,14,E1,reverse_counterexample,15,8,788,4,10,60,1,1,-2,0,11106,5100,0,55,0,0,0,0,0.0,0.03616301609792578,0,stagnant
20260812,14,E1,reverse_counterexample,16,10,812,1,7,60,1,1,3,0,18467,5495,1,47,0,0,0,0,0.0,0.03961728067068131,0,stagnant
20260812,14,E1,reverse_counterexample,17,7,855,4,6,60,1,1,1,0,16333,3283,0,50,0,0,0,0,0.0,0.016572696500964303,0,stagnant
20260812,14,E1,reverse_counterexample,18,6,913,5,20,60,1,1,-14,0,26288,5752,0,52,0,0,0,0,0.0,0.03748179635533515,0,regressive
20260812,14,E1,reverse_counterexample,19,20,831,6,16,60,1,1,4,0,22196,5896,0,59,0,0,0,0,0.0,0.04065242846459637,0,stagnant
20260812,14,E1,reverse_counterexample,20,16,828,3,23,60,1,1,-7,0,19136,6103,0,46,0,0,0,0,0.0,0.04524737277128352,0,regressive
20260812,14,E1,reverse_counterexample,21,23,739,9,14,60,1,1,9,0,8766,5725,0,59,0,0,0,0,0.0,0.04315936552918487,0,stagnant
20260812,14,E1,reverse_counterexample,22,14,845,2,12,60,1,1,2,0,21815,5940,0,59,0,0,0,0,0.0,0.039155301688511036,0,stagnant
20260812,14,E1,reverse_counterexample,23,12,839,11,31,60,1,1,-19,0,16579,6073,0,60,0,0,0,0,0.0,0.0409621364190971,0,regressive
20260812,14,E1,reverse_counterexample,24,31,841,2,10,60,1,1,21,0,17002,6037,0,55,0,0,0,0,0.0,0.04455096036525367,0,stagnant
20260812,14,E1,reverse_counterexample,25,10,874,5,13,60,1,1,-3,0,16978,4519,0,60,0,0,0,0,0.0,0.024744656984295666,0,stagnant
20260812,14,E1,reverse_counterexample,26,13,856,7,10,60,1,1,3,0,14587,5191,0,59,0,0,0,0,0.0,0.036203359310426265,0,stagnant
20260812,14,E1,reverse_counterexample,27,10,881,2,20,60,1,1,-10,0,19741,7124,0,55,0,0,0,0,0.0,0.05042729365922776,0,regressive
20260812,14,E1,reverse_counterexample,28,20,784,3,62,60,1,1,-42,0,12516,6054,1,50,0,0,0,0,0.0,0.04430521116227812,0,regressive
20260812,14,E1,reverse_counterexample,29,62,546,4,10,60,1,1,52,0,16340,6064,0,56,0,0,0,0,0.0,0.04911564726256544,0,stagnant
20260812,14,E1,reverse_counterexample,30,10,869,1,2,60,1,1,8,0,31143,5992,1,50,0,0,0,0,0.0,0.03875457551068604,0,stagnant
20260812,14,E1,reverse_counterexample,31,2,846,2,202,60,1,1,-200,0,30353,6928,0,51,0,0,0,0,0.0,0.046768361081591686,0,regressive
20260812,14,E1,reverse_counterexample,32,202,714,4,8,60,1,1,194,0,18476,5908,0,52,0,0,0,0,0.0,0.04355320384146101,0,stagnant
