decoder,shot,converged,iterations,relay_legs,valid_solutions,selected_solution_weight,syndrome_weight,sampled_error_weight
uniform_mem_bp,43,1,5,1,1,45.18928296785855,33,13
uniform_mem_bp,44,1,5,1,1,45.18928296785855,33,13
uniform_mem_bp,45,1,4,1,1,27.808789518682186,24,8
uniform_mem_bp,46,1,19,1,1,45.18928296785855,25,13
uniform_mem_bp,47,1,9,1,1,52.1414803475291,39,15
uniform_mem_bp,48,1,2,1,1,17.380493449176367,15,5
uniform_mem_bp,49,1,12,1,1,24.332690828846914,15,7
uniform_mem_bp,50,1,8,1,1,38.23708558818801,31,11
uniform_mem_bp,51,1,3,1,1,31.284888208517458,25,9
uniform_mem_bp,52,1,2,1,1,10.42829606950582,9,3
uniform_mem_bp,53,1,2,1,1,20.85659213901164,16,6
uniform_mem_bp,54,1,2,1,1,20.85659213901164,16,6
uniform_mem_bp,55,1,2,1,1,31.284888208517458,27,9
uniform_mem_bp,56,1,8,1,1,31.284888208517458,23,9
uniform_mem_bp,57,1,6,1,1,34.76098689835273,22,10
uniform_mem_bp,58,1,2,1,1,24.332690828846914,21,7
uniform_mem_bp,59,1,2,1,1,17.380493449176367,15,5
uniform_mem_bp,60,1,5,1,1,38.23708558818801,27,11
uniform_mem_bp,61,1,8,1,1,45.18928296785855,29,13
uniform_mem_bp,62,1,5,1,1,41.71318427802328,28,12
uniform_mem_bp,63,1,3,1,1,24.33269082884691,19,7
relay_bp,0,1,15,3,3,27.808789518682186,22,8
relay_bp,1,1,8,3,3,20.85659213901164,16,6
relay_bp,2,1,6,3,3,13.904394759341093,10,4
relay_bp,3,1,6,3,3,20.85659213901164,18,6
relay_bp,4,1,15,3,3,27.808789518682186,24,8
relay_bp,5,1,8,3,3,17.380493449176367,15,5
relay_bp,6,1,215,5,3,59.09367772719965,35,17
relay_bp,7,1,10,3,3,34.76098689835273,26,10
relay_bp,8,1,9,3,3,20.85659213901164,14,6
relay_bp,9,1,10,3,3,31.284888208517458,21,9
relay_bp,10,1,9,3,3,34.76098689835273,26,10
relay_bp,11,1,6,3,3,17.380493449176367,15,5
relay_bp,12,1,11,3,3,24.332690828846914,19,7
relay_bp,13,1,5,3,3,13.904394759341093,12,4
relay_bp,14,1,9,3,3,27.808789518682186,24,8
relay_bp,15,1,6,3,3,13.904394759341093,12,4
relay_bp,16,1,26,3,3,38.23708558818801,27,11
relay_bp,17,1,6,3,3,24.33269082884691,19,7
relay_bp,18,1,18,3,3,38.23708558818801,27,11
relay_bp,19,1,17,3,3,27.808789518682186,20,8
relay_bp,20,1,52,3,3,52.1414803475291,37,15
relay_bp,21,1,25,3,3,27.808789518682186,24,8
relay_bp,22,1,12,3,3,34.76098689835273,26,10
relay_bp,23,1,9,3,3,31.284888208517458,21,9
relay_bp,24,1,6,3,3,13.904394759341093,10,4
relay_bp,25,1,10,3,3,31.284888208517458,23,9
relay_bp,26,1,11,3,3,27.808789518682186,20,8
relay_bp,27,1,14,3,3,27.808789518682186,22,8
relay_bp,28,1,25,3,3,34.76098689835273,24,10
relay_bp,29,1,59,3,3,52.1414803475291,41,15
relay_bp,30,1,13,3,3,45.18928296785855,31,13
relay_bp,31,1,9,3,3,34.76098689835273,28,10
relay_bp,32,1,11,3,3,34.76098689835273,28,10
relay_bp,33,1,7,3,3,31.284888208517458,23,9
relay_bp,34,1,14,3,3,20.85659213901164,18,6
relay_bp,35,1,30,3,3,45.18928296785855,35,13
relay_bp,36,1,33,3,3,20.85659213901164,14,6
relay_bp,37,1,62,3,3,59.09367772719965,45,17
relay_bp,38,1,21,3,3,34.76098689835273,24,10
relay_bp,39,1,3,3,3,10.42829606950582,7,3
relay_bp,40,1,6,3,3,13.904394759341093,12,4
relay_bp,41,1,9,3,3,31.284888208517458,23,9
relay_bp,42,1,56,3,3,45.18928296785855,25,13
relay_bp,43,1,12,3,3,45.18928296785855,33,13
relay_bp,44,1,16,3,3,45.18928296785855,33,13
relay_bp,45,1,16,3,3,27.808789518682186,24,8
relay_bp,46,1,83,3,3,45.18928296785855,25,13
relay_bp,47,1,39,3,3,52.1414803475291,39,15
relay_bp,48,1,4,3,3,17.380493449176367,15,5
relay_bp,49,1,49,3,3,24.332690828846914,15,7
relay_bp,50,1,43,3,3,38.23708558818801,31,11
relay_bp,51,1,11,3,3,31.284888208517458,25,9
relay_bp,52,1,4,3,3,10.42829606950582,9,3
relay_bp,53,1,8,3,3,20.85659213901164,16,6
relay_bp,54,1,6,3,3,20.85659213901164,16,6
relay_bp,55,1,12,3,3,31.284888208517458,27,9
relay_bp,56,1,41,3,3,31.284888208517458,23,9
relay_bp,57,1,33,3,3,34.76098689835273,22,10
relay_bp,58,1,8,3,3,24.332690828846914,21,7
relay_bp,59,1,9,3,3,17.380493449176367,15,5
relay_bp,60,1,29,3,3,38.23708558818801,27,11
relay_bp,61,1,49,3,3,45.18928296785855,29,13
relay_bp,62,1,22,3,3,41.71318427802328,28,12
relay_bp,63,1,9,3,3,24.33269082884691,19,7
