case_id,sample_seed,shot,gamma_seed,syndrome_hash,logical_outcome_hash,classification,archive_reproduction,original_converged,partitioned_converged,original_syndrome_valid,partitioned_syndrome_valid,original_logical_correct,partitioned_logical_correct,original_iterations,partitioned_iterations,original_relay_legs,partitioned_relay_legs,original_final_residual,partitioned_final_residual,original_candidate_weight,partitioned_candidate_weight,candidate_weight_delta,correction_hash,partitioned_inverse_correction_hash,correction_exact,logical_action_exact,trace_exact,trace_iterations_compared,final_rng_state,accepted_gamma_count,accepted_gamma_sequence_hash,original_runtime_seconds,partitioned_runtime_seconds,first_trace_difference
20260809_010,20260809,10,17802734268392651266,74cd7c06b824e534bd8c45e1e264c9ce52a7ba58cec19468ec587f0fc3e8ea40,d8be982bac46c32cebc5f42e7df5a2f5d0baf5c7821794844d7245e09a297820,EXACT MATCH,True,1,1,1,1,1,1,53,53,1,1,0,0,310.5067186071732,310.5067186071732,0.0,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,True,True,True,53,17802734268392651266,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.390270833013346,5.391253082983894,null
20260809_011,20260809,11,1621262887729756765,86b1e72bdd7a3bc17e9902fa39da1ee5f53148b72ccbaa649e9a8cd6751b4f7b,27a8ca63fa0ace2fd1e86616aad228e4d2800b73c2904b45263494aa240fba33,EXACT MATCH,True,1,1,1,1,1,1,104,104,2,2,0,0,370.80811021566626,370.80811021566626,0.0,9363895ad4037f4a8a810c0f28dca9c65a107b4c868e512c4304aece79dd3ed1,9363895ad4037f4a8a810c0f28dca9c65a107b4c868e512c4304aece79dd3ed1,True,True,True,104,12833354884182939130,67752,be574140eed422deb77d62fb8a75fa23be10ca187362db31c11fe8fe8ed3ad49,11.02520916701178,12.031040458008647,null
20260809_012,20260809,12,15283566630660765739,6bf3154165f98c3d4ecbe2b8864b80cecc0731d4daf243c7f0319201c1b169e2,dcc164ca1a8d04adc141925cddaa7a657a584a5cdef898a653578cef98b42d9a,EXACT MATCH,True,1,1,1,1,1,1,60,60,1,1,0,0,409.8993753164099,409.8993753164099,0.0,013f8a2c63f57a34ebe6e8ef6320a6f2646c2e9174bdf05b3405ca2790f1f32a,013f8a2c63f57a34ebe6e8ef6320a6f2646c2e9174bdf05b3405ca2790f1f32a,True,True,True,60,15283566630660765739,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,6.785745125001995,6.085315459000412,null
20260809_013,20260809,13,14705238778227004122,aecba73662b2c8d627b9cd6498bfb4791a74e045fa35781b90a429953a77cfe9,cc3190ea3eb6962cf96fed801246a62c24df6a2d3d6ba156d005207e4b0b8c6f,EXACT MATCH,True,1,1,1,1,1,1,181,181,3,3,0,0,437.69771024090545,437.6977102409054,-5.684341886080802e-14,2d85784b803864cfcf0519ad55f4aee358ef6c87f4ecd39984be6f542ecc4aad,2d85784b803864cfcf0519ad55f4aee358ef6c87f4ecd39984be6f542ecc4aad,True,True,True,181,3463258964696109380,135504,88d5207108725efecc5edc832c8a702b98d50e0a3a95f26848de194066b91bdd,20.349287790973904,19.017906749999383,null
20260809_014,20260809,14,15725056645400374487,af0b26c1726dad20783c55aaa1bd13c97656fa364102be4df433c5f1da7353a7,50d94398974ef01eea644f56c355d4f593a8e87e61f0b2b313844e06a690ec32,EXACT MATCH,True,1,1,1,1,1,1,39,39,1,1,0,0,423.85757918949764,423.85757918949764,0.0,a258b12c779a22156d5ce319b3d259addc1fcf9e8eebf850158ecebd175233fc,a258b12c779a22156d5ce319b3d259addc1fcf9e8eebf850158ecebd175233fc,True,True,True,39,15725056645400374487,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,4.724557125009596,3.983042291016318,null
20260809_015,20260809,15,8289395461930775230,31d4658d6b8c26590a59d824d72aff23020648a8c8e726f3ea5a457ebb2dbb60,3ed9f6cd4fc370a9e555731712428f24a693cd85fe128c7f3ca78f76f3064c58,EXACT MATCH,True,1,1,1,1,1,1,165,165,3,3,0,0,371.098524465134,371.098524465134,0.0,1d1d5a786829d01cceeed4ee3d4f2aeef3eb480721c8a782d7818def7873c9f1,1d1d5a786829d01cceeed4ee3d4f2aeef3eb480721c8a782d7818def7873c9f1,True,True,True,165,6726455086033311123,135504,2c5b727a26d2ef1bb14ab03fde340a2cefff033511ccdd200e6c680cfdf40b68,17.25228316700668,18.148948209010996,null
20260809_016,20260809,16,3545954161664281249,71b4ac9d521af4fd064a8244179223b0599783936c681f79ab6d37516eab2b5d,bcb06181dcb53f6d4173272c3a3841b2cb6bfe37e760adef26924917c0357197,EXACT MATCH,True,1,1,1,1,1,1,226,226,4,4,0,0,468.98106312180346,468.98106312180346,0.0,98a3a7fa32a793b6d9954b19479e5498a03a5d295c067f9b041fa4c2c8cc4496,98a3a7fa32a793b6d9954b19479e5498a03a5d295c067f9b041fa4c2c8cc4496,True,True,True,226,6208480646687822029,203256,434bbc7f4c0c4f5e7f262580c53985378ebf6992ab8366c88f88bd8f3a92986e,23.967676916974597,27.577233624993823,null
20260809_017,20260809,17,1848792289959952852,066bc5a1d13d40260c14293e012163bbe2feb4dd935bc65bd0c2c4dafd245043,1d7edc3d9996b3b6711e175b36bbc970d5592d794894a3cc12c2e4a97e7f77de,EXACT MATCH,True,1,1,1,1,1,1,58,58,1,1,0,0,294.5323698581094,294.5323698581094,0.0,10eb3d3c193d896299ea55db1f6dfd45e3e146bdce29fa9691e9dce52c241bba,10eb3d3c193d896299ea55db1f6dfd45e3e146bdce29fa9691e9dce52c241bba,True,True,True,58,1848792289959952852,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,6.814823458989849,6.628204083011951,null
20260809_018,20260809,18,15462074353113131334,9cc09e0332d748cb9d47f78665b951e384df14e15728e7bda46e2fd0215bdf3f,1c92f033fb8eabff5381b8eb26e5106d3b15acb67b35df470434501863d5c4b0,EXACT MATCH,True,0,0,0,0,0,0,1940,1940,32,32,9,9,,,,fce946463f9f1fa37fbd58c305995ee34679996efb7c581f93ee572e21afa928,fce946463f9f1fa37fbd58c305995ee34679996efb7c581f93ee572e21afa928,True,True,True,1940,10360345463917232242,2100312,688000a58cc0a86cd427007b49b59ed282b42ee8aa2d5f5684509048a3928e44,45.167850208003074,45.445134833978955,null
20260809_019,20260809,19,2400398014029770069,42c349f05c56b8374e7a2e500010def90a08851cb4fa17e352aa4974e4f6d79c,cce19ce4564144ae6e2ea8f8549c79543b388607b6ef30ba9d8be01bdc7985a4,EXACT MATCH,True,1,1,1,1,1,1,41,41,1,1,0,0,375.8485716269149,375.84857162691486,-5.684341886080802e-14,6e61d2bd82ce72db85a1db19e1d2936c6a3ee83c852ecd88db72072fabe3ced9,6e61d2bd82ce72db85a1db19e1d2936c6a3ee83c852ecd88db72072fabe3ced9,True,True,True,41,2400398014029770069,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,4.122497458010912,5.644681208010297,null
