trajectory,case_id,sample_seed,shot,delta,absolute_delta,selection_affected
E0,20260810_018,20260810,18,0.0,0.0,False
E0,20260810_019,20260810,19,0.0,0.0,False
E0,20260810_020,20260810,20,0.0,0.0,False
E0,20260810_021,20260810,21,0.0,0.0,False
E0,20260810_022,20260810,22,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260810_023,20260810,23,0.0,0.0,False
E0,20260810_024,20260810,24,0.0,0.0,False
E0,20260810_025,20260810,25,0.0,0.0,False
E0,20260810_026,20260810,26,,,False
E0,20260810_027,20260810,27,0.0,0.0,False
E0,20260810_028,20260810,28,0.0,0.0,False
E0,20260810_029,20260810,29,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260810_030,20260810,30,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260810_031,20260810,31,0.0,0.0,False
E0,20260811_000,20260811,0,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260811_001,20260811,1,0.0,0.0,False
E0,20260811_002,20260811,2,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260811_003,20260811,3,0.0,0.0,False
E0,20260811_004,20260811,4,0.0,0.0,False
E0,20260811_005,20260811,5,0.0,0.0,False
E0,20260811_006,20260811,6,0.0,0.0,False
E0,20260811_007,20260811,7,0.0,0.0,False
E0,20260811_008,20260811,8,0.0,0.0,False
E0,20260811_009,20260811,9,0.0,0.0,False
E0,20260811_010,20260811,10,0.0,0.0,False
E0,20260811_011,20260811,11,0.0,0.0,False
E0,20260811_012,20260811,12,0.0,0.0,False
E0,20260811_013,20260811,13,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260811_014,20260811,14,0.0,0.0,False
E0,20260811_015,20260811,15,0.0,0.0,False
E0,20260811_016,20260811,16,0.0,0.0,False
E0,20260811_017,20260811,17,0.0,0.0,False
E0,20260811_018,20260811,18,0.0,0.0,False
E0,20260811_019,20260811,19,0.0,0.0,False
E0,20260811_020,20260811,20,0.0,0.0,False
E0,20260811_021,20260811,21,0.0,0.0,False
E0,20260811_022,20260811,22,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260811_023,20260811,23,0.0,0.0,False
E0,20260811_024,20260811,24,0.0,0.0,False
E0,20260811_025,20260811,25,0.0,0.0,False
E0,20260811_026,20260811,26,,,False
E0,20260811_027,20260811,27,0.0,0.0,False
E0,20260811_028,20260811,28,0.0,0.0,False
E0,20260811_029,20260811,29,-2.842170943040401e-14,2.842170943040401e-14,False
E0,20260811_030,20260811,30,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260811_031,20260811,31,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_000,20260812,0,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_001,20260812,1,0.0,0.0,False
E0,20260812_002,20260812,2,0.0,0.0,False
E0,20260812_003,20260812,3,0.0,0.0,False
E0,20260812_004,20260812,4,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_005,20260812,5,0.0,0.0,False
E0,20260812_006,20260812,6,0.0,0.0,False
E0,20260812_007,20260812,7,0.0,0.0,False
E0,20260812_008,20260812,8,0.0,0.0,False
E0,20260812_009,20260812,9,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_010,20260812,10,-1.1368683772161603e-13,1.1368683772161603e-13,False
E0,20260812_011,20260812,11,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_012,20260812,12,0.0,0.0,False
E0,20260812_013,20260812,13,0.0,0.0,False
E0,20260812_014,20260812,14,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_015,20260812,15,0.0,0.0,False
E0,20260812_016,20260812,16,0.0,0.0,False
E0,20260812_017,20260812,17,0.0,0.0,False
E0,20260812_018,20260812,18,0.0,0.0,False
E0,20260812_019,20260812,19,0.0,0.0,False
E0,20260812_020,20260812,20,0.0,0.0,False
E0,20260812_021,20260812,21,0.0,0.0,False
E0,20260812_022,20260812,22,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_023,20260812,23,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_024,20260812,24,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_025,20260812,25,0.0,0.0,False
E0,20260812_026,20260812,26,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_027,20260812,27,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_028,20260812,28,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260812_029,20260812,29,0.0,0.0,False
E0,20260812_030,20260812,30,0.0,0.0,False
E0,20260812_031,20260812,31,0.0,0.0,False
E1,20260809_000,20260809,0,1.1368683772161603e-13,1.1368683772161603e-13,False
E1,20260809_001,20260809,1,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260809_002,20260809,2,0.0,0.0,False
E1,20260809_003,20260809,3,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260809_004,20260809,4,0.0,0.0,False
E1,20260809_005,20260809,5,0.0,0.0,False
E1,20260809_006,20260809,6,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260809_007,20260809,7,0.0,0.0,False
E1,20260809_008,20260809,8,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260809_009,20260809,9,0.0,0.0,False
E1,20260809_010,20260809,10,0.0,0.0,False
E1,20260809_011,20260809,11,0.0,0.0,False
E1,20260809_012,20260809,12,0.0,0.0,False
E1,20260809_013,20260809,13,0.0,0.0,False
E1,20260809_014,20260809,14,0.0,0.0,False
E1,20260809_015,20260809,15,0.0,0.0,False
E1,20260809_016,20260809,16,0.0,0.0,False
E1,20260809_017,20260809,17,0.0,0.0,False
E1,20260809_018,20260809,18,-1.1368683772161603e-13,1.1368683772161603e-13,False
E1,20260809_019,20260809,19,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260809_020,20260809,20,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260809_021,20260809,21,0.0,0.0,False
E1,20260809_022,20260809,22,0.0,0.0,False
E1,20260809_023,20260809,23,0.0,0.0,False
E1,20260809_024,20260809,24,0.0,0.0,False
E1,20260809_025,20260809,25,0.0,0.0,False
E1,20260809_026,20260809,26,0.0,0.0,False
E1,20260809_027,20260809,27,0.0,0.0,False
E1,20260809_028,20260809,28,0.0,0.0,False
E1,20260809_029,20260809,29,0.0,0.0,False
E1,20260809_030,20260809,30,0.0,0.0,False
E1,20260809_031,20260809,31,0.0,0.0,False
E1,20260810_000,20260810,0,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260810_001,20260810,1,0.0,0.0,False
E1,20260810_002,20260810,2,0.0,0.0,False
E1,20260810_003,20260810,3,0.0,0.0,False
E1,20260810_004,20260810,4,0.0,0.0,False
E1,20260810_005,20260810,5,0.0,0.0,False
E1,20260810_006,20260810,6,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260810_007,20260810,7,0.0,0.0,False
E1,20260810_008,20260810,8,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260810_009,20260810,9,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260810_010,20260810,10,0.0,0.0,False
E1,20260810_011,20260810,11,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260810_012,20260810,12,0.0,0.0,False
E1,20260810_013,20260810,13,0.0,0.0,False
E1,20260810_014,20260810,14,0.0,0.0,False
E1,20260810_015,20260810,15,-2.842170943040401e-14,2.842170943040401e-14,False
E1,20260810_016,20260810,16,0.0,0.0,False
E1,20260810_017,20260810,17,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260810_018,20260810,18,0.0,0.0,False
E1,20260810_019,20260810,19,5.684341886080802e-14,5.684341886080802e-14,False
E1,20260810_020,20260810,20,-5.684341886080802e-14,5.684341886080802e-14,False
E1,20260810_021,20260810,21,0.0,0.0,False
E1,20260810_022,20260810,22,5.684341886080802e-14,5.684341886080802e-14,False
