sample_seed,shot,E0_iterations,E0_legs,E1_iterations,E1_legs,E0_L1_cycle,E1_L1_cycle,E0_L2_cycle,E1_L2_cycle,L1_winner,L2_winner,winner_changed,L1_first_success_cycle,L2_first_success_cycle,added_cycle,rescue,lost_success
20260810,16,47,1,47,1,152156800,152156800,155601406,155601406,E0,E0,False,152156800,155601406,3444606,0,False
20260810,17,38,1,38,1,123225085,123225085,126028819,126028819,E0,E0,False,123225085,126028819,2803734,0,False
20260810,18,72,1,72,1,232522675,232522675,237747481,237747481,E0,E0,False,232522675,237747481,5224806,0,False
20260810,19,550,9,498,8,1777669845,1609439870,1817714715,1645684094,E1,E1,False,1609439870,1645684094,36244224,0,False
20260810,20,285,5,112,2,921515750,362177030,942299180,370347986,E1,E1,False,362177030,370347986,8170956,0,False
20260810,21,104,2,216,4,336459950,698636980,344061242,714409228,E0,E0,False,336459950,344061242,7601292,0,False
20260810,22,77,1,77,1,248595850,248595850,254176696,254176696,E0,E0,False,248595850,254176696,5580846,0,False
20260810,23,47,1,47,1,152156800,152156800,155601406,155601406,E0,E0,False,152156800,155601406,3444606,0,False
20260810,24,66,1,66,1,213234865,213234865,218032423,218032423,E0,E0,False,213234865,218032423,4797558,0,False
20260810,25,58,1,58,1,187517785,187517785,191745679,191745679,E0,E0,False,187517785,191745679,4227894,0,False
20260810,26,1940,32,242,4,6270598460,782217490,6411872540,799841146,E1,E1,False,782217490,799841146,17623656,1,False
20260810,27,56,1,56,1,181088515,181088515,185173993,185173993,E0,E0,False,181088515,185173993,4085478,0,False
20260810,28,45,1,45,1,145727530,145727530,149029720,149029720,E0,E0,False,145727530,149029720,3302190,0,False
20260810,29,285,5,435,7,921515750,1405848910,942299180,1437509200,E0,E0,False,921515750,942299180,20783430,0,False
20260810,30,159,3,108,2,514333830,349318490,525949392,357204614,E1,E1,False,349318490,357204614,7886124,0,False
20260810,31,314,5,236,4,1014740165,762929680,1037588627,780126088,E1,E1,False,762929680,780126088,17196408,0,False
20260811,0,38,1,38,1,123225085,123225085,126028819,126028819,E0,E0,False,123225085,126028819,2803734,0,False
20260811,1,340,6,106,2,1099389630,342889220,1124187330,350632928,E1,E1,False,342889220,350632928,7743708,0,False
20260811,2,51,1,51,1,165015340,165015340,168744778,168744778,E0,E0,False,165015340,168744778,3729438,0,False
20260811,3,45,1,45,1,145727530,145727530,149029720,149029720,E0,E0,False,145727530,149029720,3302190,0,False
20260811,4,114,2,350,6,368606300,1131535980,376919672,1157045760,E0,E0,False,368606300,376919672,8313372,0,False
20260811,5,100,2,162,3,323601410,523977735,330917870,535806921,E0,E0,False,323601410,330917870,7316460,0,False
20260811,6,21,1,21,1,68576290,68576290,70169488,70169488,E0,E0,False,68576290,70169488,1593198,0,False
20260811,7,78,1,78,1,251810485,251810485,257462539,257462539,E0,E0,False,251810485,257462539,5652054,0,False
20260811,8,113,2,110,2,365391665,355747760,373633829,363776300,E1,E1,False,355747760,363776300,8028540,0,False
20260811,9,74,1,74,1,238951945,238951945,244319167,244319167,E0,E0,False,238951945,244319167,5367222,0,False
20260811,10,32,1,32,1,103937275,103937275,106313761,106313761,E0,E0,False,103937275,106313761,2376486,0,False
20260811,11,73,1,73,1,235737310,235737310,241033324,241033324,E0,E0,False,235737310,241033324,5296014,0,False
20260811,12,137,2,109,2,442542905,352533125,452494061,360490457,E1,E1,False,352533125,360490457,7957332,0,False
20260811,13,126,2,576,10,407181920,1862319310,416349788,1904313418,E0,E0,False,407181920,416349788,9167868,0,False
20260811,14,36,1,36,1,116795815,116795815,119457133,119457133,E0,E0,False,116795815,119457133,2661318,0,False
20260811,15,537,9,437,7,1735879590,1412278180,1774998756,1444080886,E1,E1,False,1412278180,1444080886,31802706,0,False
20260811,16,135,2,306,5,436113635,989023085,445922375,1011301883,E0,E0,False,436113635,445922375,9808740,0,False
20260811,17,66,1,66,1,213234865,213234865,218032423,218032423,E0,E0,False,213234865,218032423,4797558,0,False
20260811,18,254,4,108,2,820793110,349318490,839271262,357204614,E1,E1,False,349318490,357204614,7886124,0,False
20260811,19,23,1,23,1,75005560,75005560,76741174,76741174,E0,E0,False,75005560,76741174,1735614,0,False
20260811,20,132,2,167,3,426469730,540050910,436064846,552236136,E0,E0,False,426469730,436064846,9595116,0,False
20260811,21,183,3,119,2,591485070,384679475,604809624,393348887,E1,E1,False,384679475,393348887,8669412,0,False
20260811,22,64,1,64,1,206805595,206805595,211460737,211460737,E0,E0,False,206805595,211460737,4655142,0,False
20260811,23,195,3,184,3,630060690,594699705,644239740,608095467,E1,E1,False,594699705,608095467,13395762,0,False
20260811,24,73,1,73,1,235737310,235737310,241033324,241033324,E0,E0,False,235737310,241033324,5296014,0,False
20260811,25,371,6,320,5,1199043315,1034027975,1226048463,1057303685,E1,E1,False,1034027975,1057303685,23275710,0,False
20260811,26,1940,32,1241,21,6270598460,4011810090,6411872540,4102233648,E1,E1,False,4011810090,4102233648,90423558,1,False
20260811,27,334,6,226,4,1080101820,730783330,1104472272,747267658,E1,E1,False,730783330,747267658,16484328,0,False
20260811,28,538,9,109,2,1739094225,352533125,1778284599,360490457,E1,E1,False,352533125,360490457,7957332,0,False
20260811,29,34,1,34,1,110366545,110366545,112885447,112885447,E0,E0,False,110366545,112885447,2518902,0,False
20260811,30,31,1,31,1,100722640,100722640,103027918,103027918,E0,E0,False,100722640,103027918,2305278,0,False
20260811,31,57,1,57,1,184303150,184303150,188459836,188459836,E0,E0,False,184303150,188459836,4156686,0,False
20260812,0,63,1,63,1,203590960,203590960,208174894,208174894,E0,E0,False,203590960,208174894,4583934,0,False
20260812,1,56,1,56,1,181088515,181088515,185173993,185173993,E0,E0,False,181088515,185173993,4085478,0,False
20260812,2,96,2,163,3,310742870,527192370,317774498,539092764,E0,E0,False,310742870,317774498,7031628,0,False
20260812,3,160,3,281,5,517548465,908657210,529235235,929155808,E0,E0,False,517548465,529235235,11686770,0,False
20260812,4,64,1,64,1,206805595,206805595,211460737,211460737,E0,E0,False,206805595,211460737,4655142,0,False
20260812,5,27,1,27,1,87864100,87864100,89884546,89884546,E0,E0,False,87864100,89884546,2020446,0,False
20260812,6,187,3,219,4,604343610,708280885,617952996,724266757,E0,E0,False,604343610,617952996,13609386,0,False
20260812,7,234,4,112,2,756500410,362177030,773554402,370347986,E1,E1,False,362177030,370347986,8170956,0,False
