configuration,policy,state_percentile,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,correction_hamming_distance,iterations,relay_legs,relay_legs_agree_with_float,edge_saturation,state_saturation,guard_saturation,state_deliberately_clipped,state_clip_candidates,state_nonzero_to_zero,state_value_count,edge_nonzero_to_zero,edge_value_count,edge_exponent_min,edge_exponent_max,state_exponent_min,state_exponent_max,threshold_bucket_equal,threshold_bucket_above
balanced,A_max,,40,1,1,1,30,140,2,0,0,0,0,0,18970560,3669236,18970560,391320,109569600,0,30,0,30,178407,0
balanced,A_max,,41,1,1,1,20,135,2,0,0,0,0,0,18293040,3892469,18293040,391320,105656400,0,31,0,31,261965,0
balanced,A_max,,42,1,1,1,48,260,4,0,0,0,0,0,35231040,3265575,35231040,391320,203486400,0,28,0,28,241583,0
balanced,A_max,,43,1,1,1,12,19,1,1,0,0,0,0,2574576,181,2574576,0,14870160,0,3,0,3,55569,0
balanced,A_max,,44,1,1,1,50,131,2,0,0,0,0,0,17751024,1935893,17751024,391320,102525840,0,10,0,10,74960,0
balanced,A_max,,45,1,1,1,23,165,3,0,0,0,0,0,22358160,3860853,22358160,391320,129135600,0,32,0,32,345076,0
balanced,A_max,,46,1,1,1,51,214,4,0,0,0,0,0,28997856,310478,28997856,391320,167484960,0,6,0,6,125279,0
balanced,A_max,,47,1,1,1,14,163,3,0,0,0,0,0,22087152,1109729,22087152,391320,127570320,0,8,0,8,111288,0
balanced,A_max,,48,1,1,1,42,111,2,0,0,0,0,0,15040944,277100,15040944,0,86873040,0,6,0,6,96905,0
balanced,A_max,,49,1,1,1,45,129,2,0,0,0,0,0,17480016,2852186,17480016,391320,100960560,0,25,0,25,161882,0
balanced,A_max,,50,1,1,1,31,113,2,0,0,0,0,0,15311952,2898980,15311952,391320,88438320,0,10,0,10,115010,0
balanced,A_max,,51,1,1,1,9,17,1,1,0,0,0,0,2303568,117,2303568,0,13304880,0,1,0,1,64773,0
balanced,A_max,,52,1,1,1,17,19,1,1,0,0,0,0,2574576,148,2574576,0,14870160,0,3,0,3,53875,0
balanced,A_max,,53,1,1,1,43,395,7,0,0,0,0,0,53524080,3587265,53524080,391320,309142800,0,25,0,25,241023,0
balanced,A_max,,54,1,1,1,41,164,3,0,0,0,0,0,22222656,3217117,22222656,391320,128352960,0,25,0,25,180020,0
balanced,A_max,,55,1,1,1,48,140,2,0,0,0,0,0,18970560,3594995,18970560,391320,109569600,0,30,0,30,225817,0
balanced,A_max,,56,1,1,1,28,175,3,1,0,0,0,0,23713200,3727695,23713200,391320,136962000,0,30,0,30,143556,0
balanced,A_max,,57,1,1,1,31,138,2,0,0,0,0,0,18699552,3834022,18699552,391320,108004320,0,32,0,32,169120,0
balanced,A_max,,58,1,1,1,39,233,4,0,0,0,0,0,31572432,3809251,31572432,391320,182355120,0,31,0,31,262309,0
balanced,A_max,,59,1,1,1,70,166,3,0,0,0,0,0,22493664,1516120,22493664,391320,129918240,0,13,0,13,115728,0
