decoder,shot,decoder_seed,syndrome_weight,observed_logical_weight,syndrome_converged,logical_action_match,logically_correct,logical_residual_weight,final_syndrome_residual_weight,iterations,relay_legs,valid_solutions,selected_solution_weight,later_gamma_minimum,later_negative_gamma_count
relay_s1_positive_only,12,103,219,6,1,1,1,0,0,42,1,1,398.1300105243204,,0
relay_s1_positive_only,13,104,175,5,1,1,1,0,0,58,1,1,312.93563629966496,,0
relay_s1_positive_only,14,105,141,4,1,1,1,0,0,48,1,1,268.737871067219,,0
relay_s1_positive_only,15,106,189,8,1,1,1,0,0,94,2,1,391.56865789041177,5.306739863821797e-06,0
relay_s1_positive_only,16,107,152,2,1,1,1,0,0,104,2,1,287.84083550619084,1.1385918757103042e-05,0
relay_s1_positive_only,17,108,164,8,1,1,1,0,0,150,3,1,283.75719490872143,2.1971736375636654e-07,0
relay_s1_positive_only,18,109,186,4,1,1,1,0,0,42,1,1,347.3475566344611,,0
relay_s1_positive_only,19,110,188,3,1,1,1,0,0,39,1,1,352.4556250660338,,0
relay_s1_positive_only,20,111,174,5,1,1,1,0,0,38,1,1,308.6340437998472,,0
relay_s1_positive_only,21,112,183,7,1,1,1,0,0,31,1,1,349.61270131659455,,0
relay_s1_positive_only,22,113,192,8,1,1,1,0,0,25,1,1,329.28804700131025,,0
relay_s1_positive_only,23,114,159,9,1,1,1,0,0,98,2,1,273.09766245017715,2.8179691486667214e-05,0
relay_s1_positive_only,24,115,153,7,1,1,1,0,0,86,2,1,289.6152339503591,7.438555718946027e-06,0
relay_s1_positive_only,25,116,147,2,1,1,1,0,0,35,1,1,253.7260247601767,,0
relay_s1_positive_only,26,117,177,7,1,1,1,0,0,100,2,1,315.6279744457702,3.1312585419618345e-06,0
relay_s1_positive_only,27,118,217,6,1,1,1,0,0,80,1,1,441.64585755629923,,0
relay_s1_positive_only,28,119,177,7,1,1,1,0,0,89,2,1,338.6523476692008,6.88379733038591e-06,0
relay_s1_positive_only,29,120,195,6,1,1,1,0,0,57,1,1,371.4667775319766,,0
relay_s1_positive_only,30,121,215,7,1,1,1,0,0,79,1,1,369.1221316657617,,0
relay_s1_positive_only,31,122,173,6,1,1,1,0,0,31,1,1,315.4709473059007,,0
relay_s1_paper,0,91,211,8,1,1,1,0,0,170,3,1,436.5507708749758,-0.23998852213153193,36266
relay_s1_paper,1,92,157,6,1,1,1,0,0,304,5,1,337.8585381664646,-0.23999873689369944,72403
relay_s1_paper,2,93,164,8,1,1,1,0,0,111,2,1,325.07420436874384,-0.23997390433621923,18030
relay_s1_paper,3,94,143,6,1,1,1,0,0,674,11,1,322.1825240913162,-0.2399985892041983,180153
relay_s1_paper,4,95,177,7,1,1,1,0,0,30,1,1,348.95587041055387,,0
relay_s1_paper,5,96,169,4,1,1,1,0,0,55,1,1,303.13159762813854,,0
relay_s1_paper,6,97,199,6,1,1,1,0,0,277,5,1,414.3718533278632,-0.23999382781476178,72116
relay_s1_paper,7,98,149,9,1,1,1,0,0,77,1,1,277.9420489558494,,0
relay_s1_paper,8,99,211,5,1,1,1,0,0,120,2,1,459.99165281404555,-0.23999632110822058,18085
relay_s1_paper,9,100,198,4,1,1,1,0,0,79,1,1,387.13162617557873,,0
relay_s1_paper,10,101,197,6,1,1,1,0,0,108,2,1,396.75581074698863,-0.23999681295017805,18096
relay_s1_paper,11,102,221,9,1,1,1,0,0,58,1,1,390.75721776485346,,0
relay_s1_paper,12,103,219,6,1,1,1,0,0,42,1,1,398.1300105243204,,0
relay_s1_paper,13,104,175,5,1,1,1,0,0,58,1,1,312.93563629966496,,0
relay_s1_paper,14,105,141,4,1,1,1,0,0,48,1,1,268.737871067219,,0
relay_s1_paper,15,106,189,8,1,1,1,0,0,416,7,1,418.0112615757275,-0.23999968992991869,108399
