configuration,b,M,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,8,4,51,1,1,1,0,9,30,1,0,1,263.7509668181009,0,0,0,0,8579352,1489636
balanced,8,4,52,1,1,1,0,16,41,1,0,1,296.2232499367866,0,0,0,0,12906689,2233360
balanced,8,4,53,1,1,1,0,13,48,1,0,1,340.8877484362215,0,0,0,0,15092629,2612949
balanced,8,4,54,1,1,1,0,18,30,1,0,1,388.574463848896,0,0,0,0,8216351,1423199
balanced,8,4,55,1,1,1,0,26,36,1,0,1,391.83426521971865,0,0,0,0,10145595,1755147
balanced,8,4,56,1,1,1,0,31,29,1,0,0,330.546580202735,0,0,0,0,8078526,1396008
balanced,8,4,57,1,1,1,0,29,17,1,0,1,319.78759681830473,0,0,0,0,3588861,626478
balanced,8,4,58,1,1,1,0,21,28,1,0,1,317.1992605606455,0,0,0,0,7490547,1300183
balanced,8,4,59,1,1,1,0,43,44,1,0,1,442.29743084299844,0,0,0,0,12360697,2147821
balanced,8,4,60,1,1,1,0,33,167,3,0,0,333.2331068298309,0,0,0,0,54700170,9434380
balanced,8,4,61,1,1,1,0,36,225,4,0,1,412.5874799285486,0,0,0,0,66913684,11631173
balanced,8,4,62,1,1,1,0,26,35,1,0,1,375.23815819477284,0,0,0,0,9728730,1690556
balanced,8,4,63,1,1,1,0,35,115,2,0,0,419.37856942614746,0,0,0,0,36414877,6306354
balanced,8,4,64,1,1,1,0,10,21,1,0,1,292.47487136357347,0,0,0,0,5071356,886885
balanced,8,4,65,1,1,1,0,12,15,1,0,1,285.58125895758644,0,0,0,0,3047987,533852
balanced,8,4,66,1,1,1,0,12,33,1,0,1,306.2017227738768,0,0,0,0,9534703,1648692
balanced,8,4,67,1,1,1,0,13,35,1,0,1,430.6190126023324,0,0,0,0,9748457,1690032
balanced,8,4,68,1,1,1,0,9,24,1,0,1,285.73332162990243,0,0,0,0,6361137,1106456
balanced,8,4,69,1,1,1,0,23,36,1,0,1,371.4201925964611,0,0,0,0,10390580,1797246
balanced,8,4,70,1,1,1,0,25,40,1,0,1,307.2022832024958,0,0,0,0,11747803,2039566
balanced,8,4,71,1,1,1,0,8,24,1,0,1,228.5749587491972,0,0,0,0,6623029,1150623
balanced,8,4,72,1,1,1,0,16,22,1,0,1,370.64213244020436,0,0,0,0,4933830,860263
balanced,8,4,73,1,1,1,0,12,40,1,0,1,271.09474733407797,0,0,0,0,12028968,2088059
