configuration,b,M,guard_bits,sample_seed,shot,syndrome_converged,logical_action_match,logically_correct,syndrome_valid_logical_error,non_convergence,float_logically_correct,iterations,float_iterations,relay_legs,float_relay_legs,selected_solution_weight,float_selected_solution_weight,prior_clipping,lambda_saturation,check_message_saturation,variable_message_saturation,marginal_saturation,accumulator_saturation,stored_operation_count,marginal_operation_count
balanced,14,16,4,20260809,35,1,1,1,0,0,1,45,52,1,1,441.364641160651,407.4045599519107,0,0,0,5174696,876300,0,41384232,3048840
balanced,14,16,4,20260809,36,1,1,1,0,0,1,44,25,1,1,385.2338679066979,396.351264363206,0,0,0,3003791,520997,0,40466088,2981088
balanced,14,16,4,20260809,37,0,1,0,0,1,0,980,980,16,16,,,0,0,0,14941544,2499945,0,899848872,66396960
balanced,14,16,4,20260809,38,1,1,1,0,0,1,258,37,4,1,422.40202735656385,391.12588992694896,0,0,0,16718395,2789292,0,236948904,17480016
balanced,14,16,4,20260809,39,1,1,1,0,0,1,25,37,1,1,343.76950382381267,360.0953822279208,0,0,0,1948,509,0,23021352,1693800
balanced,14,16,4,20260809,40,1,1,1,0,0,1,16,33,1,1,280.6114019145944,293.50734883469914,0,0,0,0,0,0,14758056,1084032
balanced,14,16,4,20260809,41,1,1,1,0,0,1,18,18,1,1,293.7052144960676,226.82538599575787,0,0,0,9,14,0,16594344,1219536
balanced,14,16,4,20260809,42,1,1,1,0,0,1,47,25,1,1,328.7853623556117,328.3955906081728,0,0,0,4128215,722796,0,43220520,3184344
balanced,14,16,4,20260809,43,1,1,1,0,0,1,29,21,1,1,327.8708032616791,343.36213996198785,0,0,0,1649857,294603,0,26693928,1964808
balanced,14,16,4,20260809,44,1,1,1,0,0,1,32,18,1,1,415.53792045987825,396.4687337538469,0,0,0,1466269,268945,0,29448360,2168064
balanced,14,16,4,20260809,45,1,1,1,0,0,1,21,26,1,1,260.790073795145,247.19065710579184,0,0,0,3096,780,0,19348776,1422792
balanced,14,16,4,20260809,46,1,1,1,0,0,1,110,25,2,1,433.4422018792269,399.623139095343,0,0,0,17089744,2831278,0,101063592,7452720
balanced,14,16,4,20260809,47,1,1,1,0,0,1,137,22,2,1,321.2874231281608,300.8377827556977,0,0,0,16975964,2827184,0,125853480,9282024
balanced,14,16,4,20260809,48,1,1,1,0,0,1,31,27,1,1,411.17963838383093,391.10301773934555,0,0,0,240737,52214,0,28530216,2100312
balanced,14,16,4,20260809,49,1,1,1,0,0,1,29,25,1,1,383.9185769363319,379.82016155951317,0,0,0,2289,643,0,26693928,1964808
balanced,14,16,4,20260809,50,1,1,1,0,0,1,30,31,1,1,317.9132485500227,313.24746694633507,0,0,0,494186,96277,0,27612072,2032560
balanced,14,16,4,20260809,51,1,1,1,0,0,1,30,17,1,1,263.7509668181009,272.420109038991,0,0,0,1718471,306728,0,27612072,2032560
balanced,14,16,4,20260809,52,1,1,1,0,0,1,41,44,1,1,296.2232499367866,258.6872963628482,0,0,0,6400021,1075962,0,37711656,2777832
balanced,14,16,4,20260809,53,1,1,1,0,0,1,48,80,1,1,340.8877484362215,353.6181848264015,0,0,0,2202276,423756,0,44138664,3252096
balanced,14,16,4,20260809,54,1,1,1,0,0,1,30,46,1,1,388.574463848896,385.9629727434567,0,0,0,705533,130700,0,27612072,2032560
balanced,14,16,4,20260809,55,1,1,1,0,0,1,36,25,1,1,391.83426521971865,405.4659368855956,0,0,0,3418611,589400,0,33120936,2439072
balanced,14,16,4,20260809,56,1,1,1,0,0,1,29,184,1,3,330.546580202735,348.3060198881217,0,0,0,1531344,277224,0,26693928,1964808
balanced,14,16,4,20260809,57,1,1,1,0,0,1,17,19,1,1,319.78759681830473,335.1588456344334,0,0,0,0,0,0,15676200,1151784
balanced,14,16,4,20260809,58,1,1,1,0,0,1,28,16,1,1,317.1992605606455,303.81979552907956,0,0,0,1424057,257105,0,25775784,1897056
balanced,14,16,4,20260809,59,1,1,1,0,0,1,44,45,1,1,442.29743084299844,452.26105662239297,0,0,0,2345843,429130,0,40466088,2981088
balanced,14,16,4,20260809,60,1,1,1,0,0,1,182,30,3,1,311.8730303476734,331.04892371412643,0,0,0,19562579,3243720,0,167169960,12330864
balanced,14,16,4,20260809,61,1,1,1,0,0,1,288,247,5,4,422.65483980004853,419.521480659494,0,0,0,9657498,1657985,0,264493224,19512576
balanced,14,16,4,20260809,62,1,1,1,0,0,1,35,28,1,1,375.23815819477284,414.8972389588573,0,0,0,1252346,226872,0,32202792,2371320
balanced,14,16,4,20260809,63,1,1,1,0,0,1,110,37,2,1,400.39808772109376,385.642096417405,0,0,0,8934881,1586077,0,101063592,7452720
balanced,14,16,4,20260809,64,1,1,1,0,0,1,21,23,1,1,292.47487136357347,278.7770616951118,0,0,0,2570,705,0,19348776,1422792
balanced,14,16,4,20260809,65,1,1,1,0,0,1,15,31,1,1,285.58125895758644,298.46332625844525,0,0,0,0,0,0,13839912,1016280
balanced,14,16,4,20260809,66,1,1,1,0,0,1,33,22,1,1,306.2017227738768,310.05971627856,0,0,0,2328224,411551,0,30366504,2235816
balanced,14,16,4,20260809,67,1,1,1,0,0,1,35,31,1,1,430.6190126023324,428.84117822222026,0,0,0,2612239,458632,0,32202792,2371320
balanced,14,16,4,20260809,68,1,1,1,0,0,1,24,20,1,1,285.73332162990243,290.45936733726637,0,0,0,282045,57473,0,22103208,1626048
balanced,14,16,4,20260809,69,1,1,1,0,0,1,36,35,1,1,371.4201925964611,355.31448491275955,0,0,0,2365134,416973,0,33120936,2439072
balanced,14,16,4,20260809,70,1,1,1,0,0,1,40,32,1,1,307.2022832024958,324.2738142332343,0,0,0,1333985,256686,0,36793512,2710080
