original_edge_id,metis_locality_partition,BA1_residue,BA2_residue,BA3_residue
316,1,3,3,1
317,1,0,0,1
318,1,3,3,1
319,1,0,0,1
320,1,1,1,1
321,1,1,1,1
322,1,2,2,1
323,1,2,2,1
324,0,3,3,0
325,1,0,0,1
326,1,1,1,1
327,1,2,2,1
328,1,3,3,1
329,0,3,3,0
330,0,0,0,0
331,0,1,1,0
332,0,2,2,0
333,0,3,3,0
334,0,0,0,0
335,0,1,1,0
336,0,2,2,0
337,0,3,3,0
338,1,0,0,1
339,0,0,0,0
340,0,1,1,0
341,0,2,2,0
342,0,3,3,0
343,0,0,0,0
344,0,1,1,0
345,1,2,2,1
346,1,1,1,1
347,0,2,2,0
348,0,3,3,0
349,1,2,2,1
350,1,3,3,1
351,1,0,0,1
352,0,0,0,0
353,0,1,1,0
354,0,2,2,0
355,0,3,3,0
356,0,0,0,0
357,1,1,1,3
358,1,1,1,2
359,1,2,2,2
360,1,3,3,3
361,1,0,0,2
362,1,2,2,3
363,1,3,3,0
364,1,1,1,3
365,1,0,0,2
366,1,1,1,3
367,1,2,2,1
368,1,3,3,1
369,1,0,0,1
370,1,2,2,1
371,1,3,3,1
372,1,0,0,1
373,1,1,1,1
374,1,1,1,1
375,0,2,2,0
376,1,3,3,1
377,1,0,0,1
378,1,1,1,1
379,1,2,2,1
380,0,2,2,0
381,0,3,3,0
382,0,0,0,0
383,0,1,1,0
384,0,2,2,0
385,0,3,3,0
386,0,0,0,0
387,0,1,1,0
388,0,2,2,0
389,1,3,3,1
390,0,3,3,0
391,0,0,0,0
392,0,1,1,0
393,0,2,2,0
394,0,3,3,0
395,0,0,0,0
396,1,3,3,1
397,1,0,0,1
398,0,1,1,0
399,0,2,2,0
400,1,1,1,1
401,1,2,2,1
402,1,3,3,1
403,0,3,3,0
404,0,0,0,0
405,0,1,1,0
406,0,2,2,0
407,0,3,3,0
408,1,0,0,2
409,1,0,0,0
410,1,1,1,3
411,1,2,2,2
412,1,3,3,3
413,1,1,1,2
414,1,2,2,3
415,1,0,0,2
416,1,3,3,0
417,1,0,0,2
418,1,1,1,1
419,1,2,2,1
420,1,3,3,1
421,1,1,1,1
422,1,2,2,1
423,1,3,3,1
424,1,0,0,1
425,1,0,0,1
426,0,1,1,0
427,1,2,2,1
428,1,3,3,1
429,1,0,0,1
430,1,1,1,1
431,0,1,1,0
432,0,2,2,0
433,0,3,3,0
434,0,0,0,0
435,0,1,1,0
436,0,2,2,0
437,0,3,3,0
438,0,0,0,0
439,0,1,1,0
440,1,2,2,1
441,0,2,2,0
442,0,3,3,0
443,0,0,0,0
444,0,1,1,0
445,0,2,2,0
446,0,3,3,0
447,1,0,0,1
448,1,3,3,1
449,0,0,0,0
450,0,1,1,0
451,1,0,0,1
452,1,1,1,1
453,0,2,2,0
454,0,3,3,0
455,0,0,0,0
456,0,1,1,0
457,0,2,2,0
458,1,2,2,1
459,1,3,3,3
460,1,3,3,3
461,1,0,0,2
462,1,0,0,0
463,1,1,1,3
464,1,2,2,2
465,1,3,3,3
466,1,1,1,2
467,1,2,2,3
468,1,3,3,0
469,1,0,0,1
470,1,1,1,1
471,1,0,0,1
472,1,2,2,1
473,1,1,1,1
474,1,2,2,1
475,1,3,3,1
476,1,3,3,1
477,0,0,0,0
478,1,1,1,1
479,1,2,2,1
480,1,3,3,1
481,1,0,0,1
482,0,0,0,0
483,0,1,1,0
484,0,2,2,0
485,0,3,3,0
486,0,0,0,0
487,0,1,1,0
488,0,2,2,0
489,0,3,3,0
490,0,0,0,0
491,1,1,1,1
492,0,1,1,0
493,0,2,2,0
494,0,3,3,0
495,0,0,0,0
496,0,1,1,0
497,0,2,2,0
498,1,1,1,1
499,1,2,2,1
500,0,3,3,0
501,0,0,0,0
502,1,3,3,1
503,1,0,0,1
504,1,1,1,1
505,0,1,1,0
506,0,2,2,0
507,0,3,3,0
508,0,0,0,0
509,0,1,1,0
510,1,2,2,2
511,1,2,2,2
512,1,3,3,3
513,1,3,3,3
514,1,0,0,0
515,1,0,0,2
516,1,1,1,3
517,1,2,2,2
518,1,1,1,2
519,1,2,2,3
520,1,3,3,1
521,1,0,0,1
522,1,3,3,1
523,1,1,1,1
524,1,0,0,1
525,1,1,1,1
526,1,2,2,1
527,1,2,2,1
528,0,3,3,0
529,1,0,0,1
530,1,1,1,1
531,1,2,2,1
532,1,3,3,1
533,0,3,3,0
534,0,0,0,0
535,0,1,1,0
536,0,2,2,0
537,1,0,0,1
538,0,3,3,0
539,0,0,0,0
540,0,1,1,0
541,0,2,2,0
542,0,3,3,0
543,0,0,0,0
544,0,1,1,0
545,0,2,2,0
