original_fault_id,metis_locality_partition,BA1_residue,BA2_residue,BA3_residue
316,0,3,0,1
317,0,1,0,3
318,1,0,2,1
319,0,2,2,0
320,0,0,0,2
321,0,1,1,1
322,0,3,3,0
323,0,2,2,3
324,0,0,1,2
325,1,3,0,1
326,1,1,1,3
327,0,2,2,1
328,0,3,3,0
329,1,0,0,1
330,1,1,2,1
331,1,2,1,1
332,0,1,3,0
333,0,0,0,3
334,0,3,1,0
335,0,1,2,1
336,0,2,3,2
337,1,0,1,3
338,1,1,2,1
339,1,3,2,0
340,1,1,1,3
341,1,2,3,1
342,1,0,0,2
343,1,3,2,1
344,1,0,0,3
345,0,1,1,0
346,1,3,2,2
347,1,2,3,1
348,1,0,1,3
349,1,1,0,0
350,0,1,1,0
351,0,2,2,3
352,0,3,3,2
353,0,0,0,1
354,0,0,0,1
355,0,1,1,0
356,0,2,2,0
357,0,3,3,2
358,0,0,0,3
359,1,1,1,1
360,0,3,3,0
361,0,2,2,2
362,0,0,0,1
363,0,1,1,0
364,0,3,2,3
365,0,2,3,1
366,1,2,2,1
367,1,3,0,3
368,0,0,3,1
369,0,1,1,0
370,1,2,2,1
371,1,1,1,1
372,1,0,1,0
373,0,2,3,2
374,0,3,0,3
375,0,0,2,0
376,0,1,1,2
377,0,2,0,1
378,1,3,3,0
379,1,2,0,2
380,1,2,3,0
381,1,1,1,3
382,1,3,2,1
383,1,0,0,2
384,1,1,1,3
385,1,0,2,2
386,0,2,3,0
387,1,3,0,1
388,1,1,2,1
389,1,0,1,3
390,1,2,3,2
391,0,0,0,0
392,0,3,3,3
393,0,2,2,1
394,0,1,1,0
395,0,1,1,2
396,0,2,3,0
397,0,3,2,3
398,0,0,0,2
399,0,2,3,0
400,1,1,2,1
401,0,0,0,0
402,0,3,3,2
403,0,1,1,1
404,0,2,2,0
405,0,0,0,3
406,0,3,3,2
407,1,3,3,1
408,1,0,0,1
409,0,1,1,3
410,0,2,2,0
411,1,3,3,1
412,1,1,2,2
413,0,3,3,0
414,0,0,0,1
415,0,1,1,3
416,0,2,3,0
417,0,0,0,2
418,1,3,1,1
419,1,0,2,1
420,1,1,1,0
421,1,3,2,1
422,1,0,3,0
423,1,0,1,1
424,1,2,3,2
425,1,3,0,1
426,1,0,3,2
427,0,1,0,0
428,1,0,1,1
429,1,2,2,3
430,1,3,3,2
431,1,0,0,1
432,0,0,1,0
433,0,1,2,2
434,0,2,0,3
435,0,3,3,1
436,0,3,3,0
437,0,1,0,1
438,0,0,2,2
439,0,3,0,3
440,0,1,1,0
441,1,2,3,1
442,0,0,0,0
443,0,2,2,2
444,0,1,1,0
445,0,3,3,3
446,0,0,0,1
447,0,2,2,0
448,1,1,1,2
449,1,2,2,1
450,0,0,0,0
451,0,3,3,3
452,1,2,2,1
453,1,0,1,1
454,1,0,0,1
455,0,3,3,3
456,0,1,0,2
457,0,2,2,0
458,0,0,1,1
459,0,1,0,3
460,1,2,3,1
461,1,3,1,0
462,1,3,2,3
463,1,1,0,1
464,1,0,3,1
465,1,2,1,3
466,1,3,2,2
467,1,1,0,1
468,0,1,0,0
469,1,3,1,1
470,1,2,2,3
471,1,0,3,2
472,1,3,3,0
473,0,2,2,2
474,0,1,1,3
475,0,0,0,0
476,0,3,3,1
477,1,1,1,1
478,0,3,3,2
479,0,1,1,3
480,0,2,2,1
481,0,0,0,0
482,0,3,3,2
483,0,1,1,0
484,0,3,3,2
485,0,2,2,0
486,0,0,0,3
487,0,1,1,1
488,0,3,3,2
489,1,2,2,1
490,1,3,3,1
491,0,1,1,0
492,0,0,0,3
493,1,3,3,1
494,1,2,2,2
495,1,0,1,1
496,0,3,0,3
497,0,1,3,1
498,0,0,1,0
499,0,2,2,3
500,0,1,0,1
501,1,1,1,3
502,1,2,3,2
503,1,0,3,1
504,1,3,2,3
