variant,iteration_cycles,relay_init_cycles,mean,p50,p90,p95,p99,maximum
original,3788781,969916,726388132.6328125,287022881.5,1448120519.3999996,2257054017.6499977,7381272452.0,7381272452
metis_node_only,3800715,980404,728700459.9296875,287934386.5,1452728674.1999996,2264235072.349998,7404760028.0,7404760028
metis_partition_edge_reorder,3770603,978754,722947195.5078125,285659280.5,1441257651.9999998,2246355205.849998,7346289948.0,7346289948
BA1,3214803,1068925,617149697.453125,243786551.5,1230288249.2999997,1917497005.999998,6270923420.0,6270923420
BA2,3214635,1068955,617117727.34375,243773897.5,1230224497.4999998,1917397629.499998,6270598460.0,6270598460
BA3,3237060,1116958,621555409.234375,245514988.0,1239061871.3999996,1931164489.6999981,6315639056.0,6315639056
