sample_seed,shot,trajectory,shot_class,relay_leg,starting_residual,minimum_residual,ending_residual,iterations_used,net_residual_improvement,best_residual_improvement,converged,improved_previous_global_best,classification,residual_increases,equal_residual_iterations,decision_changes,longest_no_improvement_at_end,mean_belief_abs,mean_close_fraction
20260812,14,E1,moderately_hard_counterexample,13,10,9,11,60,-1,1,0,0,regressive,24,4,14334,549,179.50997053772235,0.0002890443578541347
20260812,14,E1,moderately_hard_counterexample,14,11,1,9,60,2,10,0,0,productive,22,5,24407,609,189.5961939650367,0.0005889125044279135
20260812,14,E1,moderately_hard_counterexample,15,9,5,22,60,-13,4,0,0,regressive,23,4,19242,669,155.8754539799353,0.0005067501082378872
20260812,14,E1,moderately_hard_counterexample,16,22,3,173,60,-151,19,0,0,regressive,26,3,12066,729,150.18239607045652,0.0005643129846105404
20260812,14,E1,moderately_hard_counterexample,17,173,6,10,60,163,167,0,0,productive,24,4,5460,789,166.4991951770399,0.0003960522690597079
20260812,14,E1,moderately_hard_counterexample,18,10,3,9,60,1,7,0,0,productive,20,6,23699,849,172.7634712212943,0.0005832546148699178
20260812,14,E1,moderately_hard_counterexample,19,9,4,21,60,-12,5,0,0,regressive,26,2,18029,909,148.10582126307293,0.0004560750974140985
20260812,14,E1,moderately_hard_counterexample,20,21,8,13,60,8,13,0,0,productive,28,5,19568,969,153.32469396866315,0.000613266029047113
20260812,14,E1,moderately_hard_counterexample,21,13,6,6,60,7,7,0,0,productive,23,4,12467,1029,145.97043136746203,0.00030306608415003736
20260812,14,E1,moderately_hard_counterexample,22,6,6,301,60,-295,0,0,0,regressive,27,1,12083,1089,148.72447778283407,0.000498632266698154
20260812,14,E1,moderately_hard_counterexample,23,301,7,19,60,282,294,0,0,productive,28,6,8571,1149,141.61421632347802,0.0005397134647931671
20260812,14,E1,moderately_hard_counterexample,24,19,1,5,60,14,18,0,0,productive,21,4,8780,1209,166.7284858069124,0.00032815759436375806
20260812,14,E1,moderately_hard_counterexample,25,5,5,10,60,-5,0,0,0,regressive,20,3,29138,1269,160.56539790451544,0.0006046561971110324
20260812,14,E1,moderately_hard_counterexample,26,10,2,28,60,-18,8,0,0,regressive,25,8,16246,1329,154.1353825467152,0.0005485692919274216
20260812,14,E1,moderately_hard_counterexample,27,28,1,54,60,-26,27,0,0,regressive,25,5,4785,1389,156.9398959298797,0.00036431888849529657
20260812,14,E1,moderately_hard_counterexample,28,54,3,9,60,45,51,0,0,productive,24,5,26998,1449,166.37070860769376,0.000670828905419766
20260812,14,E1,moderately_hard_counterexample,29,9,0,0,27,9,9,1,1,productive,8,0,17175,1475,175.49344289189682,0.0004313115807979428
20260811,28,E0,hard_major_improvement,1,170,1,2,80,168,169,0,1,productive,19,27,2505,46,930578.6133651246,0.00016124985240288108
20260811,28,E0,hard_major_improvement,2,2,1,7,60,-5,1,0,0,regressive,24,2,115752,106,115390.14599863121,0.0012995926319518244
20260811,28,E0,hard_major_improvement,3,7,0,0,24,7,7,1,1,productive,6,3,17846,129,156.73687271937274,0.0005184348801511393
20260811,28,E1,hard_major_improvement,1,170,1,2,80,168,169,0,1,productive,19,27,2505,46,930578.6133651246,0.00016124985240288108
20260811,28,E1,hard_major_improvement,2,2,1,43,60,-41,1,0,0,regressive,22,2,121065,106,115639.02833127163,0.001356417522729956
20260811,28,E1,hard_major_improvement,3,43,1,210,60,-167,42,0,0,regressive,30,2,13234,166,179.2742005368012,0.0007212579210453812
20260811,28,E1,hard_major_improvement,4,210,3,3,60,207,207,0,0,productive,19,12,9934,226,179.72110775933052,0.0005281516904790018
20260811,28,E1,hard_major_improvement,5,3,0,0,10,3,3,1,1,productive,2,0,15485,235,106.41246178862654,0.0009298618490967056
20260810,4,E0,severe_success,1,178,27,42,80,136,151,0,1,productive,37,3,9634,21,503.5684525775472,0.0004745247372771284
20260810,4,E0,severe_success,2,42,15,22,60,20,27,0,1,productive,25,3,30468,31,128.22129914151617,0.0005763667493210533
20260810,4,E0,severe_success,3,22,1,5,60,17,21,0,1,productive,22,5,18086,49,171.40116524274393,0.0006258117841539734
20260810,4,E0,severe_success,4,5,7,13,60,-8,-2,0,0,regressive,23,3,19058,88,156.25903006477,0.0004617329869720944
20260810,4,E0,severe_success,5,13,9,18,60,-5,4,0,0,regressive,26,2,16076,148,150.22823686054522,0.00045041720785610266
20260810,4,E0,severe_success,6,18,11,14,60,4,7,0,0,productive,19,6,12308,208,155.91281382012934,0.0006112980674617231
20260810,4,E0,severe_success,7,14,10,24,60,-10,4,0,0,regressive,24,6,17949,268,137.92011310134893,0.0005045361514543236
20260810,4,E0,severe_success,8,24,11,22,60,2,13,0,0,productive,21,7,16865,328,159.9561190401551,0.0005611150470342819
20260810,4,E0,severe_success,9,22,0,0,30,22,22,1,1,productive,8,5,6061,357,197.5349882850789,0.00038424449954736886
20260810,4,E1,severe_success,1,178,27,42,80,136,151,0,1,productive,37,3,9634,21,503.5684525775472,0.0004745247372771284
20260810,4,E1,severe_success,2,42,2,25,60,17,40,0,1,productive,25,2,28679,22,168.43079764781976,0.0005173279017593577
20260810,4,E1,severe_success,3,25,6,62,60,-37,19,0,0,regressive,29,2,17347,76,140.12309726901577,0.0006442614240170033
20260810,4,E1,severe_success,4,62,14,23,60,39,48,0,0,productive,28,2,4210,136,131.84710090161238,0.0003638268980989491
20260810,4,E1,severe_success,5,23,1,460,60,-437,22,0,1,regressive,25,7,17585,177,189.95167408530432,0.0005886665092297398
20260810,4,E1,severe_success,6,460,3,4,60,456,457,0,0,productive,26,1,14087,177,145.15317323618382,0.0007320817097650254
20260810,4,E1,severe_success,7,4,1,12,60,-8,3,0,0,regressive,26,4,17145,177,182.57131597217273,0.0005087180698232772
20260810,4,E1,severe_success,8,12,2,191,60,-179,10,0,0,regressive,26,0,25131,198,142.02897711348407,0.0006764867949777621
20260810,4,E1,severe_success,9,191,9,46,60,145,182,0,0,productive,28,1,8263,258,147.30926534544238,0.000623351832172236
20260810,4,E1,severe_success,10,46,2,4,60,42,44,0,0,productive,24,2,12560,318,143.62369598687127,0.0006831286653284529
20260810,4,E1,severe_success,11,4,4,13,60,-9,0,0,0,regressive,25,5,20649,378,189.07068863407812,0.0005665269413941041
20260810,4,E1,severe_success,12,13,4,29,60,-16,9,0,0,regressive,19,7,23433,438,148.04492285252348,0.0006668929822489863
20260810,4,E1,severe_success,13,29,1,260,60,-231,28,0,0,regressive,27,4,8249,498,172.83730486227412,0.000472064785295391
20260810,4,E1,severe_success,14,260,7,8,60,252,253,0,0,productive,23,2,9364,558,146.19539805968162,0.0003414413350651396
20260810,4,E1,severe_success,15,8,7,43,60,-35,1,0,0,regressive,25,3,19317,618,123.06504943659986,0.0005866985476443501
20260810,4,E1,severe_success,16,43,22,38,60,5,21,0,0,productive,27,0,6787,678,115.43827637588065,0.0005643129846105403
20260810,4,E1,severe_success,17,38,3,23,60,15,35,0,0,productive,23,9,15626,738,156.49120906664655,0.0006223678513795412
20260810,4,E1,severe_success,18,23,1,19,60,4,22,0,0,productive,23,6,13118,798,167.40078169215818,0.00053528555122604
20260810,4,E1,severe_success,19,19,4,23,60,-4,15,0,0,regressive,27,2,11269,858,173.3358829750189,0.000606870153894596
20260810,4,E1,severe_success,20,23,3,90,60,-67,20,0,0,regressive,22,7,15204,918,172.48707155910557,0.0003847364899437164
20260810,4,E1,severe_success,21,90,3,14,60,76,87,0,0,productive,24,1,10020,978,162.87679426644772,0.0006408174912425712
20260810,4,E1,severe_success,22,14,6,6,60,8,8,0,0,productive,24,2,20467,1038,146.91582517065078,0.000558163104656197
20260810,4,E1,severe_success,23,6,2,8,60,-2,4,0,0,regressive,22,7,17178,1098,194.45541043208343,0.00027403865076553716
20260810,4,E1,severe_success,24,8,4,16,60,-8,4,0,0,regressive,24,5,18163,1158,145.0043949576849,0.0005805486676900066
20260810,4,E1,severe_success,25,16,6,275,60,-259,10,0,0,regressive,19,6,19031,1218,173.57463257970366,0.0008713149919313575
20260810,4,E1,severe_success,26,275,7,298,60,-23,268,0,0,regressive,23,1,17623,1278,139.74581032764334,0.0009003424253158578
20260810,4,E1,severe_success,27,298,9,20,60,278,289,0,0,productive,28,3,7624,1338,118.65194256375572,0.000567510922186799
20260810,4,E1,severe_success,28,20,14,24,60,-4,6,0,0,regressive,28,5,12410,1398,122.56178521789943,0.0004339355295784626
20260810,4,E1,severe_success,29,24,0,0,26,24,24,1,1,productive,5,3,7448,1423,163.17171855347095,0.0004984241169150841
20260810,9,E0,severe_success,1,213,51,62,80,151,162,0,1,productive,34,5,16939,41,332.63141581511815,0.0006619730782855118
20260810,9,E0,severe_success,2,62,9,24,60,38,53,0,1,productive,22,3,26652,49,145.7158204010843,0.0006969043964261816
