sample_seed,shot,standard_iterations,stagnation_iterations,standard_relay_legs,stagnation_relay_legs,converged,logical_correct,outcome_classification,stagnant_flags,safely_shortened_legs,iterations_avoided,productive_iterations,unproductive_iterations,original_standard_modeled_cycles,original_standard_requested_accesses,original_standard_issued_groups,original_standard_retry_subsets,original_standard_mean_active_lanes,original_standard_lane_utilization,original_standard_full_four_lane_fraction,original_stagnation_modeled_cycles,original_stagnation_requested_accesses,original_stagnation_issued_groups,original_stagnation_retry_subsets,original_stagnation_mean_active_lanes,original_stagnation_lane_utilization,original_stagnation_full_four_lane_fraction,ba2_standard_modeled_cycles,ba2_standard_requested_accesses,ba2_standard_issued_groups,ba2_standard_retry_subsets,ba2_standard_mean_active_lanes,ba2_standard_lane_utilization,ba2_standard_full_four_lane_fraction,ba2_stagnation_modeled_cycles,ba2_stagnation_requested_accesses,ba2_stagnation_issued_groups,ba2_stagnation_retry_subsets,ba2_stagnation_mean_active_lanes,ba2_stagnation_lane_utilization,ba2_stagnation_full_four_lane_fraction,layout_cycle_savings,stagnation_cycle_savings,combined_cycle_savings
20260809,10,53,53,1,1,1,1,exact outcome preserved,0,0,0,53,0,201775309.0,192779136.0,86775701.0,14577323.0,2.221579702363914,0.5553949255909785,0.3111993298677011,201775309.0,192779136.0,86775701.0,14577323.0,2.221579702363914,0.5553949255909785,0.3111993298677011,171444610.0,192779136.0,74791600.0,2593222.0,2.5775506340284204,0.6443876585071051,0.460837941693987,171444610.0,192779136.0,74791600.0,2593222.0,2.5775506340284204,0.6443876585071051,0.460837941693987,30330699.0,0,30330699.0
20260809,11,104,104,2,2,1,1,exact outcome preserved,0,0,0,104,0,395973056.0,378327888.0,170290278.0,28606914.0,2.221664633138951,0.5554161582847378,0.3112269274702811,395973056.0,378327888.0,170290278.0,28606914.0,2.221664633138951,0.5554161582847378,0.3112269274702811,336459950.0,378327888.0,146775552.0,5092188.0,2.577594720951893,0.6443986802379732,0.4608459997479689,336459950.0,378327888.0,146775552.0,5092188.0,2.577594720951893,0.6443986802379732,0.4608459997479689,59513106.0,0,59513106.0
20260809,12,60,60,1,1,1,1,exact outcome preserved,0,0,0,60,0,228296776.0,218085480.0,98189635.0,16494385.0,2.2210641683310057,0.5552660420827514,0.3110318110460437,228296776.0,218085480.0,98189635.0,16494385.0,2.2210641683310057,0.5552660420827514,0.3110318110460437,193947055.0,218085480.0,84618368.0,2923118.0,2.5772829842333995,0.6443207460583499,0.4607890215987148,193947055.0,218085480.0,84618368.0,2923118.0,2.5772829842333995,0.6443207460583499,0.4607890215987148,34349721.0,0,34349721.0
20260809,13,181,181,3,3,1,1,exact outcome preserved,1,0,0,121,60,688679109.0,657871632.0,296199467.0,49757021.0,2.221042592220465,0.5552606480551162,0.31102480005475497,688679109.0,657871632.0,296199467.0,49757021.0,2.221042592220465,0.5552606480551162,0.31102480005475497,585055800.0,657871632.0,255258928.0,8816482.0,2.577271781067732,0.644317945266933,0.46078697392320006,585055800.0,657871632.0,255258928.0,8816482.0,2.577271781067732,0.644317945266933,0.46078697392320006,103623309.0,0,103623309.0
20260809,14,39,39,1,1,1,1,exact outcome preserved,0,0,0,39,0,148732375.0,142166448.0,63947833.0,10743199.0,2.223162870898221,0.5557907177245552,0.31171376831487,148732375.0,142166448.0,63947833.0,10743199.0,2.223162870898221,0.5557907177245552,0.31171376831487,126439720.0,142166448.0,55138064.0,1933430.0,2.5783721387098395,0.6445930346774599,0.46098809345210234,126439720.0,142166448.0,55138064.0,1933430.0,2.5783721387098395,0.6445930346774599,0.46098809345210234,22292655.0,0,22292655.0
20260809,15,165,165,3,3,1,1,exact outcome preserved,0,0,0,165,0,628058613.0,600028560.0,270110475.0,45375165.0,2.2214190693641185,0.5553547673410296,0.3111471334090246,628058613.0,600028560.0,270110475.0,45375165.0,2.2214190693641185,0.5553547673410296,0.3111471334090246,533621640.0,600028560.0,232797744.0,8062434.0,2.5774672455588745,0.6443668113897186,0.4608227002406003,533621640.0,600028560.0,232797744.0,8062434.0,2.5774672455588745,0.6443668113897186,0.4608227002406003,94436973.0,0,94436973.0
20260809,16,226,226,4,4,1,1,exact outcome preserved,1,0,0,106,120,860144170.0,821729232.0,369930672.0,62143416.0,2.22130602893074,0.555326507232685,0.3111104017890141,860144170.0,821729232.0,369930672.0,62143416.0,2.22130602893074,0.555326507232685,0.3111104017890141,730783330.0,821729232.0,318819936.0,11032680.0,2.577408559545034,0.6443521398862585,0.46081197381584066,730783330.0,821729232.0,318819936.0,11032680.0,2.577408559545034,0.6443521398862585,0.46081197381584066,129360840.0,0,129360840.0
20260809,17,58,58,1,1,1,1,exact outcome preserved,0,0,0,58,0,220719214.0,210855096.0,94928511.0,15946653.0,2.2211988134945044,0.5552997033736261,0.31107556295705513,220719214.0,210855096.0,94928511.0,15946653.0,2.2211988134945044,0.5552997033736261,0.31107556295705513,187517785.0,210855096.0,81810720.0,2828862.0,2.577352894583986,0.6443382236459965,0.4608017995685651,187517785.0,210855096.0,81810720.0,2828862.0,2.577352894583986,0.6443382236459965,0.4608017995685651,33201429.0,0,33201429.0
20260809,18,1940,1940,32,32,0,0,exact outcome preserved,27,0,0,200,1740,7381272452.0,7051039200.0,3174679560.0,533297640.0,2.2210239070553626,0.5552559767638406,0.31101872845396716,7381272452.0,7051039200.0,3174679560.0,533297640.0,2.2210239070553626,0.5552559767638406,0.31101872845396716,6270598460.0,7051039200.0,2735864256.0,94482336.0,2.5772620788975287,0.6443155197243822,0.46078520059439676,6270598460.0,7051039200.0,2735864256.0,94482336.0,2.5772620788975287,0.6443155197243822,0.46078520059439676,1110673992.0,0,1110673992.0
20260809,19,41,41,1,1,1,1,exact outcome preserved,0,0,0,41,0,156309937.0,149396832.0,67208957.0,11290931.0,2.2228708593112074,0.5557177148278019,0.311618881394038,156309937.0,149396832.0,67208957.0,11290931.0,2.2228708593112074,0.5557177148278019,0.311618881394038,132868990.0,149396832.0,57945712.0,2027686.0,2.5782206628162583,0.6445551657040646,0.4609604072170172,132868990.0,149396832.0,57945712.0,2027686.0,2.5782206628162583,0.6445551657040646,0.4609604072170172,23440947.0,0,23440947.0
20260809,20,74,74,1,1,1,1,exact outcome preserved,0,0,0,74,0,281339710.0,268698168.0,121017503.0,20328509.0,2.220324840118375,0.5550812100295938,0.3107915720257424,281339710.0,268698168.0,121017503.0,20328509.0,2.220324840118375,0.5550812100295938,0.3107915720257424,238951945.0,268698168.0,104271904.0,3582910.0,2.5768990273736634,0.6442247568434158,0.46071884330413687,238951945.0,268698168.0,104271904.0,3582910.0,2.5768990273736634,0.6442247568434158,0.46071884330413687,42387765.0,0,42387765.0
20260809,21,26,26,1,1,1,1,exact outcome preserved,0,0,0,26,0,99478222.0,95168952.0,42750527.0,7182941.0,2.2261468729964426,0.5565367182491107,0.3126833968619849,99478222.0,95168952.0,42750527.0,7182941.0,2.2261468729964426,0.5565367182491107,0.3126833968619849,84649465.0,95168952.0,36888352.0,1320766.0,2.5799187776130523,0.6449796944032631,0.46127078271211464,84649465.0,95168952.0,36888352.0,1320766.0,2.5799187776130523,0.6449796944032631,0.46127078271211464,14828757.0,0,14828757.0
20260809,22,40,40,1,1,1,1,exact outcome preserved,0,0,0,40,0,152521156.0,145781640.0,65578395.0,11017065.0,2.2230132347703844,0.5557533086925961,0.3116651452052158,152521156.0,145781640.0,65578395.0,11017065.0,2.2230132347703844,0.5557533086925961,0.3116651452052158,129654355.0,145781640.0,56541888.0,1980558.0,2.5782945203386203,0.6445736300846551,0.4609739066371466,129654355.0,145781640.0,56541888.0,1980558.0,2.5782945203386203,0.6445736300846551,0.4609739066371466,22866801.0,0,22866801.0
20260809,23,101,101,2,2,1,1,exact outcome preserved,0,0,0,101,0,384606713.0,367482312.0,165398592.0,27785316.0,2.2217983088997517,0.5554495772249379,0.31127036438133643,384606713.0,367482312.0,165398592.0,27785316.0,2.2217983088997517,0.5554495772249379,0.31127036438133643,326816045.0,367482312.0,142564080.0,4950804.0,2.5776641072561897,0.6444160268140474,0.46085868193446766,326816045.0,367482312.0,142564080.0,4950804.0,2.5776641072561897,0.6444160268140474,0.46085868193446766,57790668.0,0,57790668.0
20260809,24,127,127,2,2,1,1,exact outcome preserved,0,0,0,127,0,483115019.0,461477304.0,207793204.0,34905832.0,2.2208488781952656,0.5552122195488164,0.31096185417113065,483115019.0,461477304.0,207793204.0,34905832.0,2.2208488781952656,0.5552122195488164,0.31096185417113065,410396555.0,461477304.0,179063504.0,6176132.0,2.577171191735419,0.6442927979338547,0.46076858855615827,410396555.0,461477304.0,179063504.0,6176132.0,2.577171191735419,0.6442927979338547,0.46076858855615827,72718464.0,0,72718464.0
