p,shots,syndromes,logical_outcomes,E0_rng_seeds,E0_trajectory_metadata,E0_per_leg_trace,E0_per_iteration_trace,E1_rng_seeds,E1_trajectory_metadata,E1_corrections,E1_final_rng_state,E1_trace,P0_P1_validation_status,archived_E0_rows,archived_E0_leg_rows
0.002,64,EXISTS,EXISTS,EXISTS,EXISTS,EXISTS,MISSING_BUT_REGENERABLE_FROM_ARCHIVED_SEED,MISSING,MISSING,MISSING,MISSING,MISSING,NOT_RUN_MISSING_PAIRED_E1,64,81
0.004,64,EXISTS,EXISTS,EXISTS,EXISTS,EXISTS,MISSING_BUT_REGENERABLE_FROM_ARCHIVED_SEED,MISSING,MISSING,MISSING,MISSING,MISSING,NOT_RUN_MISSING_PAIRED_E1,64,448
