configuration,b,M,guard_bits,shot,syndrome_converged,logically_correct,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,4,4,4,50,1,1,0,34,230,4,0,0,351.4308435720221,50040,0,0,0,89359414,15484423
balanced,4,4,4,51,1,1,0,12,38,1,0,1,270.87937991022693,50040,0,0,0,14710052,2549797
balanced,4,4,4,52,1,1,0,8,38,1,0,1,263.5480642846523,50040,0,0,0,14734666,2553933
balanced,4,4,4,53,1,1,0,31,80,1,1,1,340.27920796982323,50040,0,0,0,31082074,5386295
balanced,4,4,4,54,1,1,0,41,260,4,0,0,419.866770845245,50040,0,0,0,100588846,17429147
balanced,4,4,4,55,1,1,0,50,36,1,0,1,470.4263099474008,50040,0,0,0,13832705,2398675
balanced,4,4,4,56,1,1,0,39,78,1,0,0,347.9271848678244,50040,0,0,0,30308041,5249933
balanced,4,4,4,57,1,1,0,30,126,2,0,0,366.08799563783066,50040,0,0,0,48856287,8464818
balanced,4,4,4,58,1,1,0,29,54,1,0,1,319.9356958000182,50040,0,0,0,20840993,3613122
balanced,4,4,4,59,1,1,0,66,189,3,0,0,501.6978164035173,50040,0,0,0,72856888,12628704
balanced,4,4,4,60,1,1,0,15,35,1,0,1,298.9431125711876,50040,0,0,0,13495671,2338922
balanced,4,4,4,61,1,1,0,71,735,12,0,0,449.51836542885957,50040,0,0,0,283620146,49157653
balanced,4,4,4,62,1,1,0,38,167,3,0,0,392.6302471729106,50040,0,0,0,64603139,11195582
balanced,4,4,4,63,1,1,0,27,40,1,0,1,406.18898542550306,50040,0,0,0,15411331,2672270
balanced,4,4,4,64,1,1,0,20,57,1,0,1,364.365745379323,50040,0,0,0,22172212,3842603
balanced,4,4,4,65,1,1,0,26,34,1,0,1,321.99528243822147,50040,0,0,0,13165855,2282530
balanced,4,4,4,66,1,1,0,25,43,1,0,1,331.8645105661521,50040,0,0,0,16660893,2887505
balanced,4,4,4,67,1,1,0,35,120,2,0,0,462.8226795511399,50040,0,0,0,46159617,8001926
