variant,mean,p50,p90,p95,p99,maximum,absolute_mean_delta_vs_BA2,percent_mean_delta_vs_BA2,improved_vs_BA2,unchanged_vs_BA2,worsened_vs_BA2,mean_absolute_delta_vs_original,mean_percent_delta_vs_original,mean_absolute_delta_vs_BA2,mean_percent_delta_vs_BA2,p50_absolute_delta_vs_original,p50_percent_delta_vs_original,p50_absolute_delta_vs_BA2,p50_percent_delta_vs_BA2,p90_absolute_delta_vs_original,p90_percent_delta_vs_original,p90_absolute_delta_vs_BA2,p90_percent_delta_vs_BA2,p95_absolute_delta_vs_original,p95_percent_delta_vs_original,p95_absolute_delta_vs_BA2,p95_percent_delta_vs_BA2,p99_absolute_delta_vs_original,p99_percent_delta_vs_original,p99_absolute_delta_vs_BA2,p99_percent_delta_vs_BA2,maximum_absolute_delta_vs_original,maximum_percent_delta_vs_original,maximum_absolute_delta_vs_BA2,maximum_percent_delta_vs_BA2
BA2,617117727.34375,243773897.5,1230224497.4999998,1917397629.499998,6270598460.0,6270598460.0,0.0,0.0,0,128,0,-109270405.2890625,-15.042977766309196,0.0,0.0,-43248984.0,-15.068131075117785,0.0,0.0,-217896021.89999986,-15.046815439800609,0.0,0.0,-339656388.1499996,-15.048660133692483,0.0,0.0,-1110673992.0,-15.047188668656396,0.0,0.0,-1110673992.0,-15.047188668656396,0.0,0.0
F1,620992559.40625,245326904.5,1237966197.2999997,1929476554.0999982,6310067348.0,6310067348.0,3874832.0625,0.6278918739181849,0,0,128,-105395573.2265625,-14.509539527380976,3874832.0625,0.6278918739181849,-41695977.0,-14.527056791463512,1553007.0,0.6370686180623641,-210154322.0999999,-14.512212159459848,7741699.799999952,0.6292916305708607,-327577463.5499995,-14.513496840942553,12078924.600000143,0.6299645109684393,-1071205104.0,-14.512472083451556,39468888.0,0.6294277691638372,-1071205104.0,-14.512472083451556,39468888.0,0.6294277691638372
F3,616968051.671875,243728431.0,1229936632.7999997,1916956847.8999982,6269136392.0,6269136392.0,-149675.671875,-0.0242539899994898,128,0,0,-109420080.9609375,-15.06358323398561,-149675.671875,-0.0242539899994898,-43294450.5,-15.08397179825539,-45466.5,-0.018651094504484877,-218183886.5999999,-15.066693944120068,-287864.7000000477,-0.023399363334497547,-340097169.7499995,-15.068189201076464,-440781.59999990463,-0.02298853368849496,-1112136060.0,-15.066996472927375,-1462068.0,-0.023316243406856785,-1112136060.0,-15.066996472927375,-1462068.0,-0.023316243406856785
