sample_seed,shot,iterations,relay_legs,difficulty_group,BA2_cycles,F1_cycles,F3_cycles,F1_delta_vs_BA2,F3_delta_vs_BA2
20260811,15,537,9,hard_tail,1735879590,1746794898,1735468254,10915308,-411336
20260811,16,135,2,hard_tail,436113635,438875873,436022462,2762238,-91173
20260811,17,66,1,medium,213234865,214583755,213189256,1348890,-45609
20260811,18,254,4,hard_tail,820793110,825973810,820610524,5180700,-182586
20260811,19,23,1,easy,75005560,75430552,74959306,424992,-46254
20260811,20,132,2,hard_tail,426469730,429167510,426378512,2697780,-91218
20260811,21,183,3,hard_tail,591485070,595209450,591348018,3724380,-137052
20260811,22,64,1,medium,206805595,208111513,206759956,1305918,-45639
20260811,23,195,3,hard_tail,630060690,634042902,629923818,3982212,-136872
20260811,24,73,1,medium,235737310,237236602,235691806,1499292,-45504
20260811,25,371,6,hard_tail,1199043315,1206599505,1198769286,7556190,-274029
20260811,26,1940,32,hard_tail,6270598460,6310067348,6269136392,39468888,-1462068
20260811,27,334,6,hard_tail,1080101820,1086863028,1079827236,6761208,-274584
20260811,28,538,9,hard_tail,1739094225,1750031019,1738682904,10936794,-411321
20260811,29,34,1,easy,110366545,111027883,110320456,661338,-46089
20260811,30,31,1,easy,100722640,101319520,100676506,596880,-46134
20260811,31,57,1,easy,184303150,185458666,184257406,1155516,-45744
20260812,0,63,1,medium,203590960,204875392,203545306,1284432,-45654
20260812,1,56,1,easy,181088515,182222545,181042756,1134030,-45759
20260812,2,96,2,medium,310742870,312667154,310651112,1924284,-91758
20260812,3,160,3,hard_tail,517548465,520778667,517411068,3230202,-137397
20260812,4,64,1,medium,206805595,208111513,206759956,1305918,-45639
20260812,5,27,1,easy,87864100,88375036,87817906,510936,-46194
20260812,6,187,3,hard_tail,604343610,608153934,604206618,3810324,-136992
20260812,7,234,4,hard_tail,756500410,761251390,756317524,4750980,-182886
20260812,8,79,1,medium,255025120,256653328,254979706,1628208,-45414
20260812,9,58,1,medium,187517785,188694787,187472056,1177002,-45729
20260812,10,36,1,easy,116795815,117500125,116749756,704310,-46059
20260812,11,48,1,easy,155371435,156333577,155325556,962142,-45879
20260812,12,99,2,medium,320386775,322375517,320295062,1988742,-91713
20260812,13,173,3,hard_tail,559338720,562848240,559201518,3509520,-137202
20260812,14,403,7,hard_tail,1302980590,1311155146,1302660442,8174556,-320148
20260812,15,641,11,hard_tail,2072339540,2085351020,2071836566,13011480,-502974
20260812,16,71,1,medium,229308040,230764360,229262506,1456320,-45534
20260812,17,55,1,easy,177873880,178986424,177828106,1112544,-45774
20260812,18,59,1,medium,190732420,191930908,190686706,1198488,-45714
20260812,19,106,2,medium,342889220,345028364,342797612,2139144,-91608
20260812,20,616,10,hard_tail,1990904710,2003448226,1990447960,12543516,-456750
20260812,21,48,1,easy,155371435,156333577,155325556,962142,-45879
20260812,22,116,2,medium,375035570,377389574,374944112,2354004,-91458
20260812,23,34,1,easy,110366545,111027883,110320456,661338,-46089
20260812,24,417,7,hard_tail,1347985480,1356460840,1347665542,8475360,-319938
20260812,25,133,2,hard_tail,429684365,432403631,429593162,2719266,-91203
20260812,26,78,1,medium,251810485,253417207,251765056,1606722,-45429
20260812,27,64,1,medium,206805595,208111513,206759956,1305918,-45639
20260812,28,48,1,easy,155371435,156333577,155325556,962142,-45879
20260812,29,110,2,medium,355747760,357972848,355656212,2225088,-91548
20260812,30,79,1,medium,255025120,256653328,254979706,1628208,-45414
20260812,31,318,5,hard_tail,1027598705,1034085323,1027370480,6486618,-228225
