difficulty_group,variant,shots,mean_iterations,mean_relay_legs,mean_modeled_cycles,mean_delta_vs_BA2
easy,BA2,43,41.46511627906977,1.0,134364169.06976745,0.0
easy,F1,43,41.46511627906977,1.0,135185902.55813953,821733.4883720931
easy,F3,43,41.46511627906977,1.0,134318192.04651162,-45977.023255813954
medium,BA2,42,84.0952380952381,1.380952380952381,271811671.6666667,0.0
medium,F1,42,84.0952380952381,1.380952380952381,273522999.38095236,1711327.7142857143
medium,F3,42,84.0952380952381,1.380952380952381,271748582.0952381,-63089.57142857143
hard_tail,BA2,43,444.6046511627907,7.395348837209302,1437146967.9069767,0.0
hard_tail,F1,43,444.6046511627907,7.395348837209302,1446188088.8372092,9041120.930232558
hard_tail,F3,43,444.6046511627907,7.395348837209302,1436809021.1162791,-337946.79069767444
