variant,total_requested_accesses,issued_groups,retry_subsets,variable_mu_retries,variable_nu_retries,convergence_retries,relay_init_retries,mean_active_lanes,lane_utilization,full_four_lane_fraction,estimated_structural_cycles,fault_bank_workload,edge_bank_workload,maximum_bank_workload_imbalance,retry_subsets_delta_vs_original,retry_subsets_percent_vs_original,retry_subsets_delta_vs_BA2,retry_subsets_percent_vs_BA2,convergence_retries_delta_vs_original,convergence_retries_percent_vs_original,convergence_retries_delta_vs_BA2,convergence_retries_percent_vs_BA2,relay_init_retries_delta_vs_original,relay_init_retries_percent_vs_original,relay_init_retries_delta_vs_BA2,relay_init_retries_percent_vs_BA2,estimated_structural_cycles_delta_vs_original,estimated_structural_cycles_percent_vs_original,estimated_structural_cycles_delta_vs_BA2,estimated_structural_cycles_percent_vs_BA2
BA2,4789152,1792752,142566,0,0,47128,95438,2.671396824546842,0.6678492061367105,0.4779908208162646,4283590,"[195638.0, 195666.0, 195670.0, 195666.0]","[195660.0, 195660.0, 195660.0, 195660.0]",0.00011243994684662084,-193725.0,-57.606358778557855,0.0,0.0,-14602.0,-23.654624979750526,0.0,0.0,33013.0,52.884261113335995,0.0,0.0,-475107.0,-9.983972503397464,0.0,0.0
F1,4789152,1776852,126666,0,0,54290,72376,2.695301578296898,0.6738253945742245,0.48582493083273115,4235890,"[195660.0, 195664.0, 195666.0, 195650.0]","[195660.0, 195660.0, 195660.0, 195660.0]",5.110906674843374e-05,-209625.0,-62.33440680838916,-15900.0,-11.152729262236438,-7440.0,-12.052486635347481,7162.0,15.196910541503982,9951.0,15.94072887464959,-23062.0,-24.16437896854502,-522807.0,-10.986347733423663,-47700.0,-1.1135519505835023
F3,4789152,1777224,127038,0,0,47133,79905,2.6947374107034343,0.6736843526758586,0.4865858214833921,4237006,"[195654.0, 195664.0, 195666.0, 195656.0]","[195660.0, 195660.0, 195660.0, 195660.0]",3.066544004903804e-05,-209253.0,-62.22378832618178,-15528.0,-10.891797483270905,-14597.0,-23.646525190345045,5.0,0.010609404175854209,17480.0,28.00160192230676,-15533.0,-16.275487751210203,-521691.0,-10.96289593558909,-46584.0,-1.0874990370226878
