policy,winner,first_success_cycles,first_success_quanta,global_failure,e0_work_before_first,e1_work_before_first,e0_flagged_work_before_first,e1_flagged_work_before_first,total_full_service_quanta,e0_total_work,e1_total_work,e0_flagged_work,e1_flagged_work,e0_ever_flagged,e1_ever_flagged,max_e0_service_gap,max_e1_service_gap,total_requested_accesses,total_issued_groups,total_retry_subsets,mean_active_lanes,lane_utilization,sample_seed,shot,winner_logical_correct,winner_syndrome_valid,winner_correction_hash,changed_winner,lost_success,logical_regression,invalid,cycles_delta_vs_round_robin,cycles_percent_vs_round_robin,classification
P2_stagnation_1to3,1,1035096930.0,320,0,160,160,0,0,331,171,160,0,0,0,0,1,1,1163905200.0,451557248.0,15653588.0,2.57753630387968,0.64438407596992,20260809,5,1,1,44296b43296aa46e1a1877f130e45dd56131b2cdd98e082b1bdea51d75416a7b,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,2221281705.0,687,0,344,343,0,83,802,344,458,0,198,0,1,1,1,2497724424.0,969094224.0,33522192.0,2.5773803642028517,0.6443450910507129,20260809,6,1,1,aa23a114bf86a6d0fb16c51dfec7348a9c899830793b834fab1d15a2fb38671b,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,2088412715.0,646,0,344,302,0,42,802,344,458,0,198,0,1,1,2,2348327592.0,911148512.0,31494506.0,2.5773269242852037,0.6443317310713009,20260809,6,1,1,aa23a114bf86a6d0fb16c51dfec7348a9c899830793b834fab1d15a2fb38671b,0,0,0,0,-132868990.0,-5.981636174327565,A_same_success_same_winner
P2_stagnation_1to3,0,2043407825.0,632,0,344,288,0,28,802,344,458,0,198,0,1,1,3,2297714904.0,891494976.0,30834714.0,2.5773728017060638,0.6443432004265159,20260809,6,1,1,aa23a114bf86a6d0fb16c51dfec7348a9c899830793b834fab1d15a2fb38671b,0,0,0,0,-177873880.0,-8.007713726701759,A_same_success_same_winner
P0_round_robin,0,358962395.0,111,0,56,55,0,0,112,56,56,0,0,0,0,1,1,403634232.0,156602320.0,5422084.0,2.5774473328364484,0.6443618332091121,20260809,7,1,1,19c1b07f7e312cc1857a4e2c70fd8d0dd5988593af63394178ce5128504416c2,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,358962395.0,111,0,56,55,0,0,112,56,56,0,0,0,0,1,1,403634232.0,156602320.0,5422084.0,2.5774473328364484,0.6443618332091121,20260809,7,1,1,19c1b07f7e312cc1857a4e2c70fd8d0dd5988593af63394178ce5128504416c2,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,358962395.0,111,0,56,55,0,0,112,56,56,0,0,0,0,1,1,403634232.0,156602320.0,5422084.0,2.5774473328364484,0.6443618332091121,20260809,7,1,1,19c1b07f7e312cc1857a4e2c70fd8d0dd5988593af63394178ce5128504416c2,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,346103855.0,107,0,54,53,0,0,108,54,54,0,0,0,0,1,1,389173464.0,150987024.0,5233572.0,2.5775292054236396,0.6443823013559099,20260809,8,1,1,40454c98a78eeac32c8fa03200f79fc39192fc41e6873e2b66a9cfcc91ce5440,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,346103855.0,107,0,54,53,0,0,108,54,54,0,0,0,0,1,1,389173464.0,150987024.0,5233572.0,2.5775292054236396,0.6443823013559099,20260809,8,1,1,40454c98a78eeac32c8fa03200f79fc39192fc41e6873e2b66a9cfcc91ce5440,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,346103855.0,107,0,54,53,0,0,108,54,54,0,0,0,0,1,1,389173464.0,150987024.0,5233572.0,2.5775292054236396,0.6443823013559099,20260809,8,1,1,40454c98a78eeac32c8fa03200f79fc39192fc41e6873e2b66a9cfcc91ce5440,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,753285775.0,233,0,117,116,0,0,816,117,699,0,439,0,1,1,1,847035576.0,328646704.0,11362576.0,2.5773438944940703,0.6443359736235176,20260809,9,1,1,3a5cb3bdcb1b491e5b3ee7b86d28145a11f4502e769e50c5b8494e9e4870b597,0,0,0,0,0.0,0.0,A_same_success_same_winner
