sample_seed,shot,policy,engine,event,trajectory_iteration,scheduler_quantum,wall_cycles,wall_cycle_delay_vs_round_robin,occurred_before_first_success,trajectory_eventually_won
20260809,23,P2_stagnation_1to3,1,late_recovery,284,385,1245117160.0,0.0,0,0
20260809,27,P0_round_robin,0,flagged,200,307,992237720.0,0.0,0,0
20260809,27,P0_round_robin,0,late_recovery,230,337,1089745725.0,0.0,0,0
20260809,27,P0_round_robin,0,flagged_convergence,230,337,1089745725.0,0.0,0,0
20260809,27,P1_stagnation_1to2,0,flagged,200,307,992237720.0,0.0,0,0
20260809,27,P1_stagnation_1to2,0,late_recovery,230,337,1089745725.0,0.0,0,0
20260809,27,P1_stagnation_1to2,0,flagged_convergence,230,337,1089745725.0,0.0,0,0
20260809,27,P2_stagnation_1to3,0,flagged,200,307,992237720.0,0.0,0,0
20260809,27,P2_stagnation_1to3,0,late_recovery,230,337,1089745725.0,0.0,0,0
20260809,27,P2_stagnation_1to3,0,flagged_convergence,230,337,1089745725.0,0.0,0,0
20260809,28,P0_round_robin,1,flagged,320,610,1971616900.0,0.0,0,0
20260809,28,P0_round_robin,1,late_recovery,368,658,2126988335.0,0.0,0,0
20260809,28,P0_round_robin,1,flagged_convergence,368,658,2126988335.0,0.0,0,0
20260809,28,P1_stagnation_1to2,1,flagged,320,610,1971616900.0,0.0,0,0
20260809,28,P1_stagnation_1to2,1,late_recovery,368,658,2126988335.0,0.0,0,0
20260809,28,P1_stagnation_1to2,1,flagged_convergence,368,658,2126988335.0,0.0,0,0
20260809,28,P2_stagnation_1to3,1,flagged,320,610,1971616900.0,0.0,0,0
20260809,28,P2_stagnation_1to3,1,late_recovery,368,658,2126988335.0,0.0,0,0
20260809,28,P2_stagnation_1to3,1,flagged_convergence,368,658,2126988335.0,0.0,0,0
20260809,29,P0_round_robin,0,flagged,260,397,1282623825.0,0.0,0,0
20260809,29,P0_round_robin,0,late_recovery,548,685,2213783480.0,0.0,0,0
20260809,29,P1_stagnation_1to2,0,flagged,260,397,1282623825.0,0.0,0,0
20260809,29,P1_stagnation_1to2,0,late_recovery,548,685,2213783480.0,0.0,0,0
20260809,29,P2_stagnation_1to3,0,flagged,260,397,1282623825.0,0.0,0,0
20260809,29,P2_stagnation_1to3,0,late_recovery,548,685,2213783480.0,0.0,0,0
20260810,4,P0_round_robin,0,flagged,380,563,1819460100.0,0.0,0,0
20260810,4,P0_round_robin,0,late_recovery,472,655,2117344430.0,0.0,0,0
20260810,4,P0_round_robin,0,flagged,620,803,2595248320.0,0.0,0,0
20260810,4,P0_round_robin,0,late_recovery,967,1150,3717140395.0,0.0,0,0
20260810,4,P0_round_robin,0,flagged_convergence,967,1150,3717140395.0,0.0,0,0
20260810,4,P1_stagnation_1to2,0,flagged,380,563,1819460100.0,0.0,0,0
20260810,4,P1_stagnation_1to2,0,late_recovery,472,655,2117344430.0,0.0,0,0
20260810,4,P1_stagnation_1to2,0,flagged,620,803,2595248320.0,0.0,0,0
20260810,4,P1_stagnation_1to2,0,late_recovery,967,1150,3717140395.0,0.0,0,0
20260810,4,P1_stagnation_1to2,0,flagged_convergence,967,1150,3717140395.0,0.0,0,0
20260810,4,P2_stagnation_1to3,0,flagged,380,563,1819460100.0,0.0,0,0
20260810,4,P2_stagnation_1to3,0,late_recovery,472,655,2117344430.0,0.0,0,0
20260810,4,P2_stagnation_1to3,0,flagged,620,803,2595248320.0,0.0,0,0
20260810,4,P2_stagnation_1to3,0,late_recovery,967,1150,3717140395.0,0.0,0,0
20260810,4,P2_stagnation_1to3,0,flagged_convergence,967,1150,3717140395.0,0.0,0,0
20260810,9,P0_round_robin,0,flagged,260,519,1676947205.0,0.0,1,0
20260810,9,P0_round_robin,1,flagged,260,520,1680161840.0,0.0,1,1
20260810,9,P0_round_robin,0,late_recovery,279,557,1801241245.0,0.0,1,0
20260810,9,P0_round_robin,1,late_recovery,286,572,1849460770.0,0.0,1,1
20260810,9,P0_round_robin,1,flagged,440,880,2843844170.0,0.0,1,1
20260810,9,P0_round_robin,0,flagged,500,999,3228523645.0,0.0,1,0
20260810,9,P0_round_robin,1,late_recovery,543,1086,3510334800.0,0.0,1,1
20260810,9,P0_round_robin,1,flagged_convergence,543,1086,3510334800.0,0.0,1,1
20260810,9,P0_round_robin,0,late_recovery,1430,1973,6377750370.0,0.0,0,0
20260810,9,P0_round_robin,0,flagged_convergence,1430,1973,6377750370.0,0.0,0,0
20260810,9,P1_stagnation_1to2,0,flagged,260,519,1676947205.0,0.0,1,0
20260810,9,P1_stagnation_1to2,1,flagged,260,520,1680161840.0,0.0,1,1
20260810,9,P1_stagnation_1to2,0,late_recovery,279,557,1801241245.0,0.0,1,0
20260810,9,P1_stagnation_1to2,1,late_recovery,286,579,1871963215.0,22502445.0,1,1
20260810,9,P1_stagnation_1to2,1,flagged,440,888,2870630205.0,26786035.0,1,1
20260810,9,P1_stagnation_1to2,0,flagged,500,966,3122440690.0,-106082955.0,1,0
20260810,9,P1_stagnation_1to2,1,late_recovery,543,1120,3620701345.0,110366545.0,1,1
20260810,9,P1_stagnation_1to2,1,flagged_convergence,543,1120,3620701345.0,110366545.0,1,1
20260810,9,P1_stagnation_1to2,0,late_recovery,1430,1973,6377750370.0,0.0,0,0
20260810,9,P1_stagnation_1to2,0,flagged_convergence,1430,1973,6377750370.0,0.0,0,0
20260810,9,P2_stagnation_1to3,0,flagged,260,519,1676947205.0,0.0,1,0
20260810,9,P2_stagnation_1to3,1,flagged,260,520,1680161840.0,0.0,1,1
20260810,9,P2_stagnation_1to3,0,late_recovery,279,557,1801241245.0,0.0,1,0
20260810,9,P2_stagnation_1to3,1,late_recovery,286,587,1897680295.0,48219525.0,1,1
20260810,9,P2_stagnation_1to3,1,flagged,440,896,2896347285.0,52503115.0,1,1
20260810,9,P2_stagnation_1to3,0,flagged,500,954,3083865070.0,-144658575.0,1,0
20260810,9,P2_stagnation_1to3,1,late_recovery,543,1130,3652847695.0,142512895.0,1,1
20260810,9,P2_stagnation_1to3,1,flagged_convergence,543,1130,3652847695.0,142512895.0,1,1
20260810,9,P2_stagnation_1to3,0,late_recovery,1430,1973,6377750370.0,0.0,0,0
20260810,9,P2_stagnation_1to3,0,flagged_convergence,1430,1973,6377750370.0,0.0,0,0
20260810,19,P0_round_robin,0,flagged,260,519,1676947205.0,0.0,1,0
20260810,19,P0_round_robin,1,flagged,380,760,2455950060.0,0.0,1,1
20260810,19,P0_round_robin,1,late_recovery,498,996,3218879740.0,0.0,1,1
20260810,19,P0_round_robin,1,flagged_convergence,498,996,3218879740.0,0.0,1,1
20260810,19,P0_round_robin,0,late_recovery,550,1048,3387109715.0,0.0,0,0
20260810,19,P0_round_robin,0,flagged_convergence,550,1048,3387109715.0,0.0,0,0
20260810,19,P1_stagnation_1to2,0,flagged,260,519,1676947205.0,0.0,1,0
20260810,19,P1_stagnation_1to2,1,flagged,380,700,2262003005.0,-193947055.0,1,1
20260810,19,P1_stagnation_1to2,1,late_recovery,498,936,3024932685.0,-193947055.0,1,1
20260810,19,P1_stagnation_1to2,1,flagged_convergence,498,936,3024932685.0,-193947055.0,1,1
20260810,19,P1_stagnation_1to2,0,late_recovery,550,1048,3387109715.0,0.0,0,0
20260810,19,P1_stagnation_1to2,0,flagged_convergence,550,1048,3387109715.0,0.0,0,0
20260810,19,P2_stagnation_1to3,0,flagged,260,519,1676947205.0,0.0,1,0
20260810,19,P2_stagnation_1to3,1,flagged,380,680,2197710305.0,-258239755.0,1,1
20260810,19,P2_stagnation_1to3,1,late_recovery,498,916,2960639985.0,-258239755.0,1,1
20260810,19,P2_stagnation_1to3,1,flagged_convergence,498,916,2960639985.0,-258239755.0,1,1
20260810,19,P2_stagnation_1to3,0,late_recovery,550,1048,3387109715.0,0.0,0,0
20260810,19,P2_stagnation_1to3,0,flagged_convergence,550,1048,3387109715.0,0.0,0,0
20260810,20,P0_round_robin,0,flagged,200,312,1008310895.0,0.0,0,0
20260810,20,P0_round_robin,0,late_recovery,285,397,1283692780.0,0.0,0,0
20260810,20,P0_round_robin,0,flagged_convergence,285,397,1283692780.0,0.0,0,0
20260810,20,P1_stagnation_1to2,0,flagged,200,312,1008310895.0,0.0,0,0
20260810,20,P1_stagnation_1to2,0,late_recovery,285,397,1283692780.0,0.0,0,0
20260810,20,P1_stagnation_1to2,0,flagged_convergence,285,397,1283692780.0,0.0,0,0
20260810,20,P2_stagnation_1to3,0,flagged,200,312,1008310895.0,0.0,0,0
20260810,20,P2_stagnation_1to3,0,late_recovery,285,397,1283692780.0,0.0,0,0
20260810,20,P2_stagnation_1to3,0,flagged_convergence,285,397,1283692780.0,0.0,0,0
20260810,26,P0_round_robin,0,flagged,260,502,1622298410.0,0.0,0,0
20260810,26,P1_stagnation_1to2,0,flagged,260,502,1622298410.0,0.0,0,0
20260810,26,P2_stagnation_1to3,0,flagged,260,502,1622298410.0,0.0,0,0
20260810,29,P0_round_robin,0,flagged,200,399,1289053095.0,0.0,1,1
20260810,29,P0_round_robin,1,flagged,200,400,1292267730.0,0.0,1,0
20260810,29,P0_round_robin,0,late_recovery,229,457,1477639835.0,0.0,1,1
20260810,29,P0_round_robin,1,late_recovery,415,700,2263071960.0,0.0,0,0
20260810,29,P1_stagnation_1to2,0,flagged,200,399,1289053095.0,0.0,1,1
20260810,29,P1_stagnation_1to2,1,flagged,200,400,1292267730.0,0.0,1,0
20260810,29,P1_stagnation_1to2,0,late_recovery,229,457,1477639835.0,0.0,1,1
20260810,29,P1_stagnation_1to2,1,late_recovery,415,700,2263071960.0,0.0,0,0
20260810,29,P2_stagnation_1to3,0,flagged,200,399,1289053095.0,0.0,1,1
20260810,29,P2_stagnation_1to3,1,flagged,200,400,1292267730.0,0.0,1,0
20260810,29,P2_stagnation_1to3,0,late_recovery,229,457,1477639835.0,0.0,1,1
20260810,29,P2_stagnation_1to3,1,late_recovery,415,700,2263071960.0,0.0,0,0
20260810,31,P0_round_robin,0,flagged,200,399,1289053095.0,0.0,1,0
20260810,31,P0_round_robin,1,flagged,200,400,1292267730.0,0.0,1,1
20260810,31,P0_round_robin,1,late_recovery,228,456,1474425200.0,0.0,1,1
20260810,31,P0_round_robin,0,late_recovery,314,550,1777669845.0,0.0,0,0
20260810,31,P0_round_robin,0,flagged_convergence,314,550,1777669845.0,0.0,0,0
20260810,31,P1_stagnation_1to2,0,flagged,200,399,1289053095.0,0.0,1,0
20260810,31,P1_stagnation_1to2,1,flagged,200,400,1292267730.0,0.0,1,1
20260810,31,P1_stagnation_1to2,1,late_recovery,228,456,1474425200.0,0.0,1,1
20260810,31,P1_stagnation_1to2,0,late_recovery,314,550,1777669845.0,0.0,0,0
20260810,31,P1_stagnation_1to2,0,flagged_convergence,314,550,1777669845.0,0.0,0,0
20260810,31,P2_stagnation_1to3,0,flagged,200,399,1289053095.0,0.0,1,0
20260810,31,P2_stagnation_1to3,1,flagged,200,400,1292267730.0,0.0,1,1
20260810,31,P2_stagnation_1to3,1,late_recovery,228,456,1474425200.0,0.0,1,1
20260810,31,P2_stagnation_1to3,0,late_recovery,314,550,1777669845.0,0.0,0,0
20260810,31,P2_stagnation_1to3,0,flagged_convergence,314,550,1777669845.0,0.0,0,0
20260811,1,P0_round_robin,0,flagged,260,366,1182970140.0,0.0,0,0
20260811,1,P0_round_robin,0,late_recovery,340,446,1442278850.0,0.0,0,0
20260811,1,P0_round_robin,0,flagged_convergence,340,446,1442278850.0,0.0,0,0
20260811,1,P1_stagnation_1to2,0,flagged,260,366,1182970140.0,0.0,0,0
20260811,1,P1_stagnation_1to2,0,late_recovery,340,446,1442278850.0,0.0,0,0
20260811,1,P1_stagnation_1to2,0,flagged_convergence,340,446,1442278850.0,0.0,0,0
20260811,1,P2_stagnation_1to3,0,flagged,260,366,1182970140.0,0.0,0,0
20260811,1,P2_stagnation_1to3,0,late_recovery,340,446,1442278850.0,0.0,0,0
20260811,1,P2_stagnation_1to3,0,flagged_convergence,340,446,1442278850.0,0.0,0,0
20260811,4,P0_round_robin,1,flagged,260,374,1208687220.0,0.0,0,0
20260811,4,P0_round_robin,1,late_recovery,350,464,1500142280.0,0.0,0,0
20260811,4,P0_round_robin,1,flagged_convergence,350,464,1500142280.0,0.0,0,0
20260811,4,P1_stagnation_1to2,1,flagged,260,374,1208687220.0,0.0,0,0
20260811,4,P1_stagnation_1to2,1,late_recovery,350,464,1500142280.0,0.0,0,0
20260811,4,P1_stagnation_1to2,1,flagged_convergence,350,464,1500142280.0,0.0,0,0
20260811,4,P2_stagnation_1to3,1,flagged,260,374,1208687220.0,0.0,0,0
20260811,4,P2_stagnation_1to3,1,late_recovery,350,464,1500142280.0,0.0,0,0
20260811,4,P2_stagnation_1to3,1,flagged_convergence,350,464,1500142280.0,0.0,0,0
20260811,13,P0_round_robin,1,flagged,260,386,1247262840.0,0.0,0,0
20260811,13,P0_round_robin,1,late_recovery,576,702,2269501230.0,0.0,0,0
20260811,13,P0_round_robin,1,flagged_convergence,576,702,2269501230.0,0.0,0,0
20260811,13,P1_stagnation_1to2,1,flagged,260,386,1247262840.0,0.0,0,0
20260811,13,P1_stagnation_1to2,1,late_recovery,576,702,2269501230.0,0.0,0,0
20260811,13,P1_stagnation_1to2,1,flagged_convergence,576,702,2269501230.0,0.0,0,0
20260811,13,P2_stagnation_1to3,1,flagged,260,386,1247262840.0,0.0,0,0
20260811,13,P2_stagnation_1to3,1,late_recovery,576,702,2269501230.0,0.0,0,0
20260811,13,P2_stagnation_1to3,1,flagged_convergence,576,702,2269501230.0,0.0,0,0
20260811,15,P0_round_robin,0,flagged,200,399,1289053095.0,0.0,1,0
20260811,15,P0_round_robin,1,flagged,200,400,1292267730.0,0.0,1,1
20260811,15,P0_round_robin,1,late_recovery,437,874,2824556360.0,0.0,1,1
20260811,15,P0_round_robin,1,flagged_convergence,437,874,2824556360.0,0.0,1,1
20260811,15,P0_round_robin,0,late_recovery,537,974,3148157770.0,0.0,0,0
20260811,15,P0_round_robin,0,flagged_convergence,537,974,3148157770.0,0.0,0,0
20260811,15,P1_stagnation_1to2,0,flagged,200,399,1289053095.0,0.0,1,0
20260811,15,P1_stagnation_1to2,1,flagged,200,400,1292267730.0,0.0,1,1
20260811,15,P1_stagnation_1to2,1,late_recovery,437,874,2824556360.0,0.0,1,1
20260811,15,P1_stagnation_1to2,1,flagged_convergence,437,874,2824556360.0,0.0,1,1
20260811,15,P1_stagnation_1to2,0,late_recovery,537,974,3148157770.0,0.0,0,0
20260811,15,P1_stagnation_1to2,0,flagged_convergence,537,974,3148157770.0,0.0,0,0
20260811,15,P2_stagnation_1to3,0,flagged,200,399,1289053095.0,0.0,1,0
20260811,15,P2_stagnation_1to3,1,flagged,200,400,1292267730.0,0.0,1,1
20260811,15,P2_stagnation_1to3,1,late_recovery,437,874,2824556360.0,0.0,1,1
20260811,15,P2_stagnation_1to3,1,flagged_convergence,437,874,2824556360.0,0.0,1,1
20260811,15,P2_stagnation_1to3,0,late_recovery,537,974,3148157770.0,0.0,0,0
20260811,15,P2_stagnation_1to3,0,flagged_convergence,537,974,3148157770.0,0.0,0,0
20260811,18,P0_round_robin,0,flagged,200,308,995452355.0,0.0,0,0
20260811,18,P0_round_robin,0,late_recovery,254,362,1170111600.0,0.0,0,0
20260811,18,P0_round_robin,0,flagged_convergence,254,362,1170111600.0,0.0,0,0
20260811,18,P1_stagnation_1to2,0,flagged,200,308,995452355.0,0.0,0,0
20260811,18,P1_stagnation_1to2,0,late_recovery,254,362,1170111600.0,0.0,0,0
20260811,18,P1_stagnation_1to2,0,flagged_convergence,254,362,1170111600.0,0.0,0,0
20260811,18,P2_stagnation_1to3,0,flagged,200,308,995452355.0,0.0,0,0
20260811,18,P2_stagnation_1to3,0,late_recovery,254,362,1170111600.0,0.0,0,0
20260811,18,P2_stagnation_1to3,0,flagged_convergence,254,362,1170111600.0,0.0,0,0
20260811,25,P0_round_robin,1,flagged,260,520,1680161840.0,0.0,1,1
20260811,25,P0_round_robin,1,late_recovery,319,638,2061626680.0,0.0,1,1
20260811,25,P1_stagnation_1to2,1,flagged,260,520,1680161840.0,0.0,1,0
20260811,25,P1_stagnation_1to2,1,late_recovery,319,690,2229856655.0,168229975.0,0,0
20260811,25,P2_stagnation_1to3,1,flagged,260,520,1680161840.0,0.0,1,0
20260811,25,P2_stagnation_1to3,1,late_recovery,319,690,2229856655.0,168229975.0,0,0
20260811,26,P0_round_robin,0,flagged,320,639,2064841315.0,0.0,1,0
20260811,26,P0_round_robin,1,flagged,320,640,2068055950.0,0.0,1,1
20260811,26,P0_round_robin,1,late_recovery,1241,2482,8023620180.0,0.0,1,1
20260811,26,P0_round_robin,1,flagged_convergence,1241,2482,8023620180.0,0.0,1,1
20260811,26,P1_stagnation_1to2,0,flagged,320,639,2064841315.0,0.0,1,0
20260811,26,P1_stagnation_1to2,1,flagged,320,640,2068055950.0,0.0,1,1
20260811,26,P1_stagnation_1to2,1,late_recovery,1241,2482,8023620180.0,0.0,1,1
20260811,26,P1_stagnation_1to2,1,flagged_convergence,1241,2482,8023620180.0,0.0,1,1
20260811,26,P2_stagnation_1to3,0,flagged,320,639,2064841315.0,0.0,1,0
20260811,26,P2_stagnation_1to3,1,flagged,320,640,2068055950.0,0.0,1,1
20260811,26,P2_stagnation_1to3,1,late_recovery,1241,2482,8023620180.0,0.0,1,1
20260811,26,P2_stagnation_1to3,1,flagged_convergence,1241,2482,8023620180.0,0.0,1,1
20260811,27,P0_round_robin,1,flagged,200,400,1292267730.0,0.0,1,1
20260811,27,P0_round_robin,1,late_recovery,222,444,1435849580.0,0.0,1,1
20260811,27,P0_round_robin,0,flagged,260,486,1570864250.0,0.0,0,0
20260811,27,P0_round_robin,0,late_recovery,334,560,1810885150.0,0.0,0,0
20260811,27,P0_round_robin,0,flagged_convergence,334,560,1810885150.0,0.0,0,0
20260811,27,P1_stagnation_1to2,1,flagged,200,400,1292267730.0,0.0,1,1
20260811,27,P1_stagnation_1to2,1,late_recovery,222,465,1503356915.0,67507335.0,1,1
20260811,27,P1_stagnation_1to2,0,flagged,260,486,1570864250.0,0.0,0,0
20260811,27,P1_stagnation_1to2,0,late_recovery,334,560,1810885150.0,0.0,0,0
