policy,mean,p50,p90,p95,p99,maximum,improved,unchanged,worsened
P0_round_robin,798113893.3984375,484333160.0,1842710036.5,2469233850.9999967,3751257196.4000015,8023620180.0,0,128,0
P1_stagnation_1to2,794983013.3203125,484333160.0,1785705655.4999998,2383459263.7499976,3734122492.5500007,8023620180.0,7,117,4
P2_stagnation_1to3,793417512.578125,484333160.0,1765453454.9999995,2315148269.999998,3724028538.6500006,8023620180.0,7,117,4
