sample_seed,seed_index,shot,engine,decoder_seed,syndrome_sample_hash,logical_sample_hash,syndrome_converged,logical_correct,syndrome_valid_logical_error,non_convergence,iterations,relay_legs,weight,natural_cycles,result_cycles,rng_words,gamma_coefficients,initial_rng_state,final_rng_state
20260809,0,4,1,7652924299329715263,88b0232431c3ba6a2ea126679ed4feab56855bb830cd6697f80fab501aa06336,d094939805b9135df6af5f768bdd216743edb9b215f402a2b5842354624885bc,1,1,0,0,53,1,319.88950307662157,201843486,201843485,0,0,7652924299329715263,7652924299329715263
20260809,0,4,2,10469070698460948334,88b0232431c3ba6a2ea126679ed4feab56855bb830cd6697f80fab501aa06336,d094939805b9135df6af5f768bdd216743edb9b215f402a2b5842354624885bc,1,1,0,0,53,1,319.88950307662157,201843486,201843485,0,0,10469070698460948334,10469070698460948334
20260809,0,4,3,12213013971847301441,88b0232431c3ba6a2ea126679ed4feab56855bb830cd6697f80fab501aa06336,d094939805b9135df6af5f768bdd216743edb9b215f402a2b5842354624885bc,1,1,0,0,53,1,319.88950307662157,201843486,201843485,0,0,12213013971847301441,12213013971847301441
20260809,0,5,0,8763808320666350717,e97455f276f007073207e17c575f1ce4ce4a50b6020809b8126a3b9903872a1b,b8a9b66ecf8af158c7927d93c155e6c5f424aae220e1e2036457a9141ba6bdbd,1,1,0,0,171,3,316.84328107015574,651053029,651053028,192605,135504,8763808320666350717,9031751074107457166
20260809,0,5,1,8612741554530423899,e97455f276f007073207e17c575f1ce4ce4a50b6020809b8126a3b9903872a1b,b8a9b66ecf8af158c7927d93c155e6c5f424aae220e1e2036457a9141ba6bdbd,1,1,0,0,160,3,347.01317355769663,609376422,609376421,192677,135504,8612741554530423899,1363259448471898655
20260809,0,5,2,17019221213435504463,e97455f276f007073207e17c575f1ce4ce4a50b6020809b8126a3b9903872a1b,b8a9b66ecf8af158c7927d93c155e6c5f424aae220e1e2036457a9141ba6bdbd,1,1,0,0,183,3,329.40531825253197,696518812,696518811,192920,135504,17019221213435504463,18390900747683871008
20260809,0,5,3,18024218339995203717,e97455f276f007073207e17c575f1ce4ce4a50b6020809b8126a3b9903872a1b,b8a9b66ecf8af158c7927d93c155e6c5f424aae220e1e2036457a9141ba6bdbd,1,1,0,0,169,3,345.95210147102773,643475250,643475249,192404,135504,18024218339995203717,7683810645717364044
20260809,0,6,0,16046846968248299819,6915cccea23d20cacad8f8576f728e62387110f353b22570443b885966705747,491e503ba40e8d303d46b4b51b14826ae08e8c8c3ded6f1441ef1d5d53c42534,1,1,0,0,344,6,336.4875143954213,1309713132,1309713131,482460,338760,16046846968248299819,16872956026041370963
20260809,0,6,1,4229790578053323825,6915cccea23d20cacad8f8576f728e62387110f353b22570443b885966705747,491e503ba40e8d303d46b4b51b14826ae08e8c8c3ded6f1441ef1d5d53c42534,1,1,0,0,458,8,345.5750510309549,1743766781,1743766780,674329,474264,4229790578053323825,10853915614798366808
20260809,0,6,2,13089556862965044731,6915cccea23d20cacad8f8576f728e62387110f353b22570443b885966705747,491e503ba40e8d303d46b4b51b14826ae08e8c8c3ded6f1441ef1d5d53c42534,1,1,0,0,166,3,310.5734592393694,632109214,632109213,192735,135504,13089556862965044731,3030447733978602742
20260809,0,6,3,4914661607628090427,6915cccea23d20cacad8f8576f728e62387110f353b22570443b885966705747,491e503ba40e8d303d46b4b51b14826ae08e8c8c3ded6f1441ef1d5d53c42534,1,1,0,0,278,5,330.65314471588124,1058585881,1058585880,385200,271008,4914661607628090427,3576685222184403989
20260809,0,7,0,14472511681705215893,d7d2e5bc152e605a287527b1d89f7b29c3570c37ca53e46a30e079b6db5673c7,0e3bdfef7f1cf00965b73016d8fbbe07b2f1fa7df57d4369ba552574fa6edfd0,1,1,0,0,56,1,357.31860687854106,213209853,213209852,0,0,14472511681705215893,14472511681705215893
20260809,0,7,1,7896154883791277071,d7d2e5bc152e605a287527b1d89f7b29c3570c37ca53e46a30e079b6db5673c7,0e3bdfef7f1cf00965b73016d8fbbe07b2f1fa7df57d4369ba552574fa6edfd0,1,1,0,0,56,1,357.31860687854106,213209853,213209852,0,0,7896154883791277071,7896154883791277071
20260809,0,7,2,11627094531267489173,d7d2e5bc152e605a287527b1d89f7b29c3570c37ca53e46a30e079b6db5673c7,0e3bdfef7f1cf00965b73016d8fbbe07b2f1fa7df57d4369ba552574fa6edfd0,1,1,0,0,56,1,357.31860687854106,213209853,213209852,0,0,11627094531267489173,11627094531267489173
20260809,0,7,3,15892881923633400285,d7d2e5bc152e605a287527b1d89f7b29c3570c37ca53e46a30e079b6db5673c7,0e3bdfef7f1cf00965b73016d8fbbe07b2f1fa7df57d4369ba552574fa6edfd0,1,1,0,0,56,1,357.31860687854106,213209853,213209852,0,0,15892881923633400285,15892881923633400285
