P,layout,processing_lanes,mean_active_lanes,efficiency,full_P_lane_fraction,structural_cycles,cycles_change_vs_BA2_P2_percent
2,original,2,1.6007454978999447,0.8003727489499723,0.6007454978999447,7205045,
2,BA2,2,1.7115563375071967,0.8557781687535984,0.7115563375071968,6725893,0.0
4,original,4,2.410877145821472,0.602719286455368,0.3727100792005143,4758697,
4,BA2,4,2.671396824546842,0.6678492061367105,0.4779908208162646,4283590,-36.31195143901338
8,original,8,3.526195658256293,0.4407744572820366,0.23862950276991585,3198386,
8,BA2,8,3.9447765287892005,0.49309706609865006,0.2806484746497052,2842924,-57.73164990879278
