P,layout,iteration_cycles,relay_init_cycles,mean,p50,p90,p95,p99,maximum,mean_change_vs_original_P_percent,p50_change_vs_original_P_percent,p90_change_vs_original_P_percent,p95_change_vs_original_P_percent,p99_change_vs_original_P_percent,maximum_change_vs_original_P_percent
2,original,5495263,1709782,1054548121.3828125,416602138.5,2102268724.3999994,3276564171.049997,10715523244.0,10715523244,0.0,0.0,0.0,0.0,0.0,0.0
2,BA2,4938450,1787443,948516308.3359375,374640418.0,1890834960.8999996,2946984287.4499974,9637791176.0,9637791176,-10.054715465031327,-10.07237280420249,-10.05740898135391,-10.058703763899835,-10.05767094577915,-10.05767094577915
4,original,3788781,969916,726388132.6328125,287022881.5,1448120519.3999996,2257054017.6499977,7381272452.0,7381272452,0.0,0.0,0.0,0.0,0.0,0.0
4,BA2,3214635,1068955,617117727.34375,243773897.5,1230224497.4999998,1917397629.499998,6270598460.0,6270598460,-15.042977766309196,-15.068131075117785,-15.046815439800609,-15.048660133692483,-15.047188668656396,-15.047188668656396
8,original,2654548,543838,508487807.859375,200962212.0,1013747148.1999998,1580058637.6999986,5167225936.0,5167225936,0.0,0.0,0.0,0.0,0.0,0.0
8,BA2,2242866,600058,430088822.5,169936441.0,857415164.9999998,1336370814.1999989,4370361896.0,4370361896,-15.418065909862811,-15.438609423745797,-15.421200787354294,-15.422707593606921,-15.421505656415334,-15.421505656415334
