N,sample_seed,shot,winner_engine,parallel_iterations,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight,baseline_iterations,rescued_vs_engine0,selected_correction_differs_from_engine0,full_counterfactual_engine_iterations,post_winner_iterations_avoided_by_cancellation,post_winner_waste_fraction_without_cancellation,early_stop_compute_cycles,early_stop_nonwinner_work_fraction
1,20260809,65,0,30,1,1,0,291.32337817013274,30,0,0,30,0,0.0,30,0.0
1,20260809,66,0,91,1,1,0,308.53379610716627,91,0,0,91,0,0.0,91,0.0
1,20260809,67,0,117,1,1,0,452.74697995625183,117,0,0,117,0,0.0,117,0.0
1,20260809,68,0,35,1,1,0,278.0653128719078,35,0,0,35,0,0.0,35,0.0
1,20260809,69,0,44,1,1,0,359.1234501595909,44,0,0,44,0,0.0,44,0.0
1,20260809,70,0,57,1,1,0,310.88219261150005,57,0,0,57,0,0.0,57,0.0
1,20260809,71,0,73,1,1,0,233.1465689666065,73,0,0,73,0,0.0,73,0.0
1,20260809,72,0,108,1,1,0,376.0425874188199,108,0,0,108,0,0.0,108,0.0
1,20260809,73,0,52,1,1,0,331.86996921267814,52,0,0,52,0,0.0,52,0.0
1,20260809,74,0,61,1,1,0,398.7787774029572,61,0,0,61,0,0.0,61,0.0
1,20260809,75,0,70,1,1,0,430.7796585502889,70,0,0,70,0,0.0,70,0.0
1,20260809,76,0,122,1,1,0,400.65456883751546,122,0,0,122,0,0.0,122,0.0
1,20260809,77,0,107,1,1,0,341.8447641574207,107,0,0,107,0,0.0,107,0.0
1,20260809,78,0,107,1,1,0,300.3975389344853,107,0,0,107,0,0.0,107,0.0
1,20260809,79,0,47,1,1,0,335.311299049251,47,0,0,47,0,0.0,47,0.0
1,20260809,80,0,134,1,1,0,387.36912720269686,134,0,0,134,0,0.0,134,0.0
1,20260809,81,0,131,1,1,0,370.2992867812028,131,0,0,131,0,0.0,131,0.0
1,20260809,82,0,121,1,1,0,333.05965671155013,121,0,0,121,0,0.0,121,0.0
1,20260809,83,0,61,1,1,0,370.4829043143718,61,0,0,61,0,0.0,61,0.0
1,20260809,84,0,189,1,1,0,455.8206781776741,189,0,0,189,0,0.0,189,0.0
1,20260809,85,0,35,1,1,0,218.80674915219106,35,0,0,35,0,0.0,35,0.0
1,20260809,86,0,77,1,1,0,352.4878697897103,77,0,0,77,0,0.0,77,0.0
1,20260809,87,0,127,1,1,0,349.9597756293947,127,0,0,127,0,0.0,127,0.0
1,20260809,88,0,71,1,1,0,377.12830770045304,71,0,0,71,0,0.0,71,0.0
1,20260809,89,0,123,1,1,0,389.90879686591927,123,0,0,123,0,0.0,123,0.0
1,20260809,90,0,116,1,1,0,319.90285662962106,116,0,0,116,0,0.0,116,0.0
1,20260809,91,0,252,1,1,0,484.66981925192107,252,0,0,252,0,0.0,252,0.0
1,20260809,92,0,41,1,1,0,317.1575995245718,41,0,0,41,0,0.0,41,0.0
1,20260809,93,0,43,1,1,0,295.6517768406006,43,0,0,43,0,0.0,43,0.0
1,20260809,94,0,119,1,1,0,355.54249732921335,119,0,0,119,0,0.0,119,0.0
1,20260809,95,0,34,1,1,0,348.0778008716408,34,0,0,34,0,0.0,34,0.0
1,20260809,96,0,93,1,1,0,318.3857792938925,93,0,0,93,0,0.0,93,0.0
1,20260809,97,0,107,1,1,0,402.9985009006441,107,0,0,107,0,0.0,107,0.0
1,20260809,98,0,56,1,1,0,343.75970392707166,56,0,0,56,0,0.0,56,0.0
1,20260809,99,0,61,1,1,0,318.1060524796931,61,0,0,61,0,0.0,61,0.0
1,20260809,100,0,44,1,1,0,413.8353972973408,44,0,0,44,0,0.0,44,0.0
1,20260809,101,0,133,1,1,0,342.85138276676423,133,0,0,133,0,0.0,133,0.0
1,20260809,102,0,98,1,1,0,236.95282842909873,98,0,0,98,0,0.0,98,0.0
1,20260809,103,0,115,1,1,0,408.87567374043533,115,0,0,115,0,0.0,115,0.0
1,20260809,104,0,46,1,1,0,279.1098242470955,46,0,0,46,0,0.0,46,0.0
1,20260809,105,0,77,1,1,0,379.49944335620603,77,0,0,77,0,0.0,77,0.0
1,20260809,106,0,37,1,1,0,297.62888873369275,37,0,0,37,0,0.0,37,0.0
1,20260809,107,0,130,1,1,0,318.29842720297626,130,0,0,130,0,0.0,130,0.0
1,20260809,108,0,291,1,1,0,387.9261870128643,291,0,0,291,0,0.0,291,0.0
1,20260809,109,0,35,1,1,0,376.2589780051825,35,0,0,35,0,0.0,35,0.0
1,20260809,110,0,177,1,1,0,471.3022782485611,177,0,0,177,0,0.0,177,0.0
1,20260809,111,0,74,1,1,0,388.37976696980843,74,0,0,74,0,0.0,74,0.0
1,20260809,112,0,26,1,1,0,329.4982912348448,26,0,0,26,0,0.0,26,0.0
1,20260809,113,0,114,1,1,0,298.5917124371066,114,0,0,114,0,0.0,114,0.0
1,20260809,114,0,187,1,1,0,407.7584457260857,187,0,0,187,0,0.0,187,0.0
1,20260809,115,0,28,1,1,0,275.2668813669328,28,0,0,28,0,0.0,28,0.0
1,20260809,116,0,59,1,1,0,332.15867053481225,59,0,0,59,0,0.0,59,0.0
1,20260809,117,0,109,1,1,0,403.88089782242633,109,0,0,109,0,0.0,109,0.0
1,20260809,118,0,80,1,1,0,348.66873767960703,80,0,0,80,0,0.0,80,0.0
1,20260809,119,0,126,1,1,0,310.19417680786364,126,0,0,126,0,0.0,126,0.0
1,20260809,120,0,122,1,1,0,289.2157580355413,122,0,0,122,0,0.0,122,0.0
1,20260809,121,0,158,1,1,0,459.6381482390126,158,0,0,158,0,0.0,158,0.0
1,20260809,122,0,34,1,1,0,333.0571256048586,34,0,0,34,0,0.0,34,0.0
1,20260809,123,0,47,1,1,0,374.37340679766857,47,0,0,47,0,0.0,47,0.0
1,20260809,124,0,533,1,1,0,353.6850834203858,533,0,0,533,0,0.0,533,0.0
1,20260809,125,0,35,1,1,0,351.5145790985248,35,0,0,35,0,0.0,35,0.0
1,20260809,126,0,95,1,1,0,371.4813751533838,95,0,0,95,0,0.0,95,0.0
1,20260809,127,0,117,1,1,0,403.9895747286845,117,0,0,117,0,0.0,117,0.0
1,20260810,0,0,67,1,1,0,480.8124033205825,67,0,0,67,0,0.0,67,0.0
1,20260810,1,0,31,1,1,0,309.04388017571375,31,0,0,31,0,0.0,31,0.0
1,20260810,2,0,74,1,1,0,324.6141466832845,74,0,0,74,0,0.0,74,0.0
1,20260810,3,0,471,1,1,0,379.04063956486533,471,0,0,471,0,0.0,471,0.0
1,20260810,4,0,298,1,1,0,394.64872802117463,298,0,0,298,0,0.0,298,0.0
1,20260810,5,0,49,1,1,0,402.39280073000907,49,0,0,49,0,0.0,49,0.0
1,20260810,6,0,23,1,1,0,317.60359603138767,23,0,0,23,0,0.0,23,0.0
1,20260810,7,0,97,1,1,0,319.3853007272544,97,0,0,97,0,0.0,97,0.0
1,20260810,8,0,182,1,1,0,439.9874129338052,182,0,0,182,0,0.0,182,0.0
1,20260810,9,0,640,1,1,0,428.4625411109955,640,0,0,640,0,0.0,640,0.0
1,20260810,10,0,42,1,1,0,389.27482274900456,42,0,0,42,0,0.0,42,0.0
1,20260810,11,0,50,1,1,0,310.6350021916819,50,0,0,50,0,0.0,50,0.0
1,20260810,12,0,34,1,1,0,307.26354900377316,34,0,0,34,0,0.0,34,0.0
1,20260810,13,0,159,1,1,0,304.26164150895255,159,0,0,159,0,0.0,159,0.0
1,20260810,14,0,63,1,1,0,300.91635632150917,63,0,0,63,0,0.0,63,0.0
1,20260810,15,0,17,1,1,0,252.22248931897155,17,0,0,17,0,0.0,17,0.0
1,20260810,16,0,47,1,1,0,283.2190543618213,47,0,0,47,0,0.0,47,0.0
1,20260810,17,0,38,1,1,0,432.5891002910465,38,0,0,38,0,0.0,38,0.0
1,20260810,18,0,72,1,1,0,306.56581176443586,72,0,0,72,0,0.0,72,0.0
1,20260810,19,0,111,1,1,0,418.05556261855475,111,0,0,111,0,0.0,111,0.0
1,20260810,20,0,113,1,1,0,331.3382098798134,113,0,0,113,0,0.0,113,0.0
1,20260810,21,0,240,1,1,0,322.64370796183806,240,0,0,240,0,0.0,240,0.0
1,20260810,22,0,77,1,1,0,259.93352705306546,77,0,0,77,0,0.0,77,0.0
1,20260810,23,0,47,1,1,0,356.6532976900697,47,0,0,47,0,0.0,47,0.0
1,20260810,24,0,66,1,1,0,329.59581165515885,66,0,0,66,0,0.0,66,0.0
1,20260810,25,0,58,1,1,0,323.69010880759095,58,0,0,58,0,0.0,58,0.0
1,20260810,26,0,183,1,1,0,522.3417483608453,183,0,0,183,0,0.0,183,0.0
1,20260810,27,0,56,1,1,0,367.95742112817027,56,0,0,56,0,0.0,56,0.0
1,20260810,28,0,45,1,1,0,387.6062702116176,45,0,0,45,0,0.0,45,0.0
1,20260810,29,0,118,1,1,0,341.50032524329924,118,0,0,118,0,0.0,118,0.0
1,20260810,30,0,102,1,1,0,266.74832951903704,102,0,0,102,0,0.0,102,0.0
1,20260810,31,0,175,1,1,0,355.0749212722885,175,0,0,175,0,0.0,175,0.0
1,20260810,32,0,31,1,1,0,342.511195653736,31,0,0,31,0,0.0,31,0.0
1,20260810,33,0,777,1,1,0,391.71981439010506,777,0,0,777,0,0.0,777,0.0
1,20260810,34,0,320,1,1,0,456.2904077873641,320,0,0,320,0,0.0,320,0.0
1,20260810,35,0,97,1,1,0,252.85602955336495,97,0,0,97,0,0.0,97,0.0
1,20260810,36,0,47,1,1,0,268.9787330744349,47,0,0,47,0,0.0,47,0.0
1,20260810,37,0,31,1,1,0,267.84315739772256,31,0,0,31,0,0.0,31,0.0
1,20260810,38,0,33,1,1,0,237.64900335488142,33,0,0,33,0,0.0,33,0.0
1,20260810,39,0,99,1,1,0,351.4785887891824,99,0,0,99,0,0.0,99,0.0
1,20260810,40,0,121,1,1,0,316.43696253708646,121,0,0,121,0,0.0,121,0.0
1,20260810,41,0,48,1,1,0,411.1589156833457,48,0,0,48,0,0.0,48,0.0
1,20260810,42,0,118,1,1,0,354.2218272399564,118,0,0,118,0,0.0,118,0.0
1,20260810,43,0,58,1,1,0,260.6769847589577,58,0,0,58,0,0.0,58,0.0
1,20260810,44,0,19,1,1,0,275.70253975706356,19,0,0,19,0,0.0,19,0.0
1,20260810,45,0,414,1,1,0,385.0908991354564,414,0,0,414,0,0.0,414,0.0
1,20260810,46,0,29,1,1,0,361.7899303075512,29,0,0,29,0,0.0,29,0.0
1,20260810,47,0,32,1,1,0,339.42244533667645,32,0,0,32,0,0.0,32,0.0
1,20260810,48,0,353,1,1,0,430.2256441256991,353,0,0,353,0,0.0,353,0.0
1,20260810,49,0,130,1,1,0,492.6104761806371,130,0,0,130,0,0.0,130,0.0
1,20260810,50,0,50,1,1,0,391.48906460255336,50,0,0,50,0,0.0,50,0.0
1,20260810,51,0,80,1,1,0,307.78982886571316,80,0,0,80,0,0.0,80,0.0
1,20260810,52,0,29,1,1,0,287.9972191539217,29,0,0,29,0,0.0,29,0.0
1,20260810,53,0,100,1,1,0,246.87764107364848,100,0,0,100,0,0.0,100,0.0
1,20260810,54,0,55,1,1,0,377.9662967764704,55,0,0,55,0,0.0,55,0.0
1,20260810,55,0,165,1,1,0,362.89146250713554,165,0,0,165,0,0.0,165,0.0
1,20260810,56,0,45,1,1,0,350.421304581026,45,0,0,45,0,0.0,45,0.0
1,20260810,57,0,55,1,1,0,297.04059847088024,55,0,0,55,0,0.0,55,0.0
1,20260810,58,0,111,1,1,0,360.12426462811004,111,0,0,111,0,0.0,111,0.0
1,20260810,59,0,41,1,1,0,335.111053047567,41,0,0,41,0,0.0,41,0.0
1,20260810,60,0,604,1,1,0,379.65669890571223,604,0,0,604,0,0.0,604,0.0
1,20260810,61,0,109,1,1,0,405.1737118187938,109,0,0,109,0,0.0,109,0.0
1,20260810,62,0,220,1,1,0,400.0263347993905,220,0,0,220,0,0.0,220,0.0
1,20260810,63,0,169,1,1,0,311.69042654982746,169,0,0,169,0,0.0,169,0.0
1,20260810,64,0,110,1,1,0,392.4208936006505,110,0,0,110,0,0.0,110,0.0
1,20260810,65,0,107,1,1,0,388.103119730009,107,0,0,107,0,0.0,107,0.0
1,20260810,66,0,139,1,1,0,334.17179558389614,139,0,0,139,0,0.0,139,0.0
1,20260810,67,0,75,1,1,0,395.88446168207497,75,0,0,75,0,0.0,75,0.0
1,20260810,68,0,466,1,1,0,390.25002647940613,466,0,0,466,0,0.0,466,0.0
1,20260810,69,0,50,1,1,0,366.1870909689427,50,0,0,50,0,0.0,50,0.0
1,20260810,70,0,173,1,1,0,460.2031353966652,173,0,0,173,0,0.0,173,0.0
1,20260810,71,0,25,1,1,0,320.41158200524353,25,0,0,25,0,0.0,25,0.0
1,20260810,72,0,39,1,1,0,291.5410590126605,39,0,0,39,0,0.0,39,0.0
1,20260810,73,0,122,1,1,0,380.27180706655304,122,0,0,122,0,0.0,122,0.0
1,20260810,74,0,200,1,1,0,398.05266333794805,200,0,0,200,0,0.0,200,0.0
1,20260810,75,0,77,1,1,0,321.88166485712554,77,0,0,77,0,0.0,77,0.0
1,20260810,76,0,97,1,1,0,407.6577917456541,97,0,0,97,0,0.0,97,0.0
1,20260810,77,0,229,1,1,0,461.76306260532436,229,0,0,229,0,0.0,229,0.0
1,20260810,78,0,166,1,1,0,387.1900646347309,166,0,0,166,0,0.0,166,0.0
1,20260810,79,0,200,1,1,0,476.1710355532612,200,0,0,200,0,0.0,200,0.0
1,20260810,80,0,602,1,1,0,493.91254052956634,602,0,0,602,0,0.0,602,0.0
1,20260810,81,0,78,1,1,0,365.8579190843311,78,0,0,78,0,0.0,78,0.0
1,20260810,82,0,66,1,1,0,410.9983349571086,66,0,0,66,0,0.0,66,0.0
1,20260810,83,0,45,1,1,0,325.4916677856065,45,0,0,45,0,0.0,45,0.0
1,20260810,84,0,120,1,1,0,371.53445708605244,120,0,0,120,0,0.0,120,0.0
1,20260810,85,0,55,1,1,0,321.91490795623884,55,0,0,55,0,0.0,55,0.0
1,20260810,86,0,170,1,1,0,384.69192659437846,170,0,0,170,0,0.0,170,0.0
1,20260810,87,0,253,1,1,0,424.27887815254394,253,0,0,253,0,0.0,253,0.0
1,20260810,88,0,25,1,1,0,292.5168076348516,25,0,0,25,0,0.0,25,0.0
1,20260810,89,0,72,1,1,0,335.376315386423,72,0,0,72,0,0.0,72,0.0
1,20260810,90,0,51,1,1,0,365.6412040529278,51,0,0,51,0,0.0,51,0.0
1,20260810,91,0,585,1,1,0,384.4904026518045,585,0,0,585,0,0.0,585,0.0
1,20260810,92,0,239,1,1,0,383.16807926102126,239,0,0,239,0,0.0,239,0.0
1,20260810,93,0,65,1,1,0,334.54466206311764,65,0,0,65,0,0.0,65,0.0
1,20260810,94,0,1485,1,1,0,404.54458404156964,1485,0,0,1485,0,0.0,1485,0.0
1,20260810,95,0,74,1,1,0,297.01867454418186,74,0,0,74,0,0.0,74,0.0
1,20260810,96,0,120,1,1,0,332.09201843780147,120,0,0,120,0,0.0,120,0.0
1,20260810,97,0,28,1,1,0,331.78832370915063,28,0,0,28,0,0.0,28,0.0
1,20260810,98,0,47,1,1,0,439.9760403243074,47,0,0,47,0,0.0,47,0.0
1,20260810,99,0,54,1,1,0,369.35273147958776,54,0,0,54,0,0.0,54,0.0
1,20260810,100,0,56,1,1,0,336.4107142821904,56,0,0,56,0,0.0,56,0.0
1,20260810,101,0,51,1,1,0,415.9579118687496,51,0,0,51,0,0.0,51,0.0
1,20260810,102,0,182,1,1,0,335.35138375826995,182,0,0,182,0,0.0,182,0.0
1,20260810,103,0,116,1,1,0,398.9124813124219,116,0,0,116,0,0.0,116,0.0
1,20260810,104,0,59,1,1,0,321.1366556994212,59,0,0,59,0,0.0,59,0.0
1,20260810,105,0,72,1,1,0,317.45402775728394,72,0,0,72,0,0.0,72,0.0
1,20260810,106,0,288,1,1,0,277.2865629274522,288,0,0,288,0,0.0,288,0.0
1,20260810,107,0,64,1,1,0,391.32215003937597,64,0,0,64,0,0.0,64,0.0
1,20260810,108,0,51,1,1,0,310.15487482723034,51,0,0,51,0,0.0,51,0.0
1,20260810,109,0,111,1,1,0,327.08339662608125,111,0,0,111,0,0.0,111,0.0
1,20260810,110,0,190,1,1,0,439.073684942607,190,0,0,190,0,0.0,190,0.0
1,20260810,111,0,529,1,1,0,387.72886052606475,529,0,0,529,0,0.0,529,0.0
1,20260810,112,0,71,1,1,0,357.04218189447477,71,0,0,71,0,0.0,71,0.0
1,20260810,113,0,30,1,1,0,278.56803548084486,30,0,0,30,0,0.0,30,0.0
1,20260810,114,0,21,1,1,0,280.1410712738771,21,0,0,21,0,0.0,21,0.0
1,20260810,115,0,74,1,1,0,415.98568841664854,74,0,0,74,0,0.0,74,0.0
1,20260810,116,0,26,1,1,0,306.9698903663811,26,0,0,26,0,0.0,26,0.0
1,20260810,117,0,103,1,1,0,333.04711939118476,103,0,0,103,0,0.0,103,0.0
1,20260810,118,0,230,1,1,0,442.4908530501509,230,0,0,230,0,0.0,230,0.0
1,20260810,119,0,58,1,1,0,323.2817376809637,58,0,0,58,0,0.0,58,0.0
1,20260810,120,0,436,1,1,0,446.86574151178075,436,0,0,436,0,0.0,436,0.0
1,20260810,121,0,100,1,1,0,329.87798590520765,100,0,0,100,0,0.0,100,0.0
1,20260810,122,0,30,1,1,0,265.1295361278866,30,0,0,30,0,0.0,30,0.0
1,20260810,123,0,53,1,1,0,265.9838075018389,53,0,0,53,0,0.0,53,0.0
1,20260810,124,0,41,1,1,0,380.2973655884095,41,0,0,41,0,0.0,41,0.0
1,20260810,125,0,43,1,1,0,302.04750776657295,43,0,0,43,0,0.0,43,0.0
1,20260810,126,0,128,1,1,0,438.1415909852068,128,0,0,128,0,0.0,128,0.0
1,20260810,127,0,26,1,1,0,362.5627157712985,26,0,0,26,0,0.0,26,0.0
1,20260811,0,0,38,1,1,0,262.72411758213116,38,0,0,38,0,0.0,38,0.0
1,20260811,1,0,1182,1,1,0,382.13052073966344,1182,0,0,1182,0,0.0,1182,0.0
1,20260811,2,0,51,1,1,0,301.131114823069,51,0,0,51,0,0.0,51,0.0
1,20260811,3,0,45,1,1,0,346.12024981797845,45,0,0,45,0,0.0,45,0.0
1,20260811,4,0,195,1,1,0,282.26192151324915,195,0,0,195,0,0.0,195,0.0
1,20260811,5,0,112,1,1,0,328.25603983697135,112,0,0,112,0,0.0,112,0.0
1,20260811,6,0,21,1,1,0,270.52824890805505,21,0,0,21,0,0.0,21,0.0
1,20260811,7,0,78,1,1,0,373.69719295653067,78,0,0,78,0,0.0,78,0.0
1,20260811,8,0,164,1,1,0,280.13387339751944,164,0,0,164,0,0.0,164,0.0
1,20260811,9,0,74,1,1,0,281.26795917260876,74,0,0,74,0,0.0,74,0.0
1,20260811,10,0,32,1,1,0,278.2676039972531,32,0,0,32,0,0.0,32,0.0
1,20260811,11,0,73,1,1,0,334.53197140417876,73,0,0,73,0,0.0,73,0.0
1,20260811,12,0,168,1,1,0,267.63739073352855,168,0,0,168,0,0.0,168,0.0
1,20260811,13,0,186,1,1,0,424.4470354522276,186,0,0,186,0,0.0,186,0.0
1,20260811,14,0,36,1,1,0,309.29812843956813,36,0,0,36,0,0.0,36,0.0
1,20260811,15,0,100,1,1,0,356.8067888010495,100,0,0,100,0,0.0,100,0.0
1,20260811,16,0,109,1,1,0,381.45591896909934,109,0,0,109,0,0.0,109,0.0
1,20260811,17,0,66,1,1,0,310.8063991347773,66,0,0,66,0,0.0,66,0.0
1,20260811,18,0,135,1,1,0,325.4470063981712,135,0,0,135,0,0.0,135,0.0
1,20260811,19,0,23,1,1,0,316.6001322510972,23,0,0,23,0,0.0,23,0.0
1,20260811,20,0,165,1,1,0,363.45653704960455,165,0,0,165,0,0.0,165,0.0
1,20260811,21,0,224,1,1,0,392.44608314794294,224,0,0,224,0,0.0,224,0.0
1,20260811,22,0,64,1,1,0,335.4195204053038,64,0,0,64,0,0.0,64,0.0
1,20260811,23,0,125,1,1,0,404.2563965331852,125,0,0,125,0,0.0,125,0.0
1,20260811,24,0,73,1,1,0,291.222054809026,73,0,0,73,0,0.0,73,0.0
1,20260811,25,0,107,1,1,0,344.3882184284754,107,0,0,107,0,0.0,107,0.0
1,20260811,26,0,1013,1,1,0,266.9800728583769,1013,0,0,1013,0,0.0,1013,0.0
1,20260811,27,0,111,1,1,0,326.9479451712326,111,0,0,111,0,0.0,111,0.0
1,20260811,28,0,101,1,1,0,334.3829562794581,101,0,0,101,0,0.0,101,0.0
1,20260811,29,0,34,1,1,0,226.6341805350745,34,0,0,34,0,0.0,34,0.0
1,20260811,30,0,31,1,1,0,332.15061678648215,31,0,0,31,0,0.0,31,0.0
1,20260811,31,0,57,1,1,0,394.7011525225419,57,0,0,57,0,0.0,57,0.0
1,20260811,32,0,23,1,1,0,215.4102062512727,23,0,0,23,0,0.0,23,0.0
1,20260811,33,0,39,1,1,0,336.1170316676389,39,0,0,39,0,0.0,39,0.0
1,20260811,34,0,67,1,1,0,329.3867908013183,67,0,0,67,0,0.0,67,0.0
1,20260811,35,0,30,1,1,0,288.0016818063665,30,0,0,30,0,0.0,30,0.0
