sample_seed,shot,engine,decoder_seed,iterations,relay_legs,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight
20260809,69,2,2009175,44,1,1,1,0,359.1234501595909
20260809,69,3,3009178,44,1,1,1,0,359.1234501595909
20260809,70,0,9170,57,1,1,1,0,310.88219261150005
20260809,70,1,1009173,57,1,1,1,0,310.88219261150005
20260809,70,2,2009176,57,1,1,1,0,310.88219261150005
20260809,70,3,3009179,57,1,1,1,0,310.88219261150005
20260809,71,0,9171,73,1,1,1,0,233.1465689666065
20260809,71,1,1009174,73,1,1,1,0,233.1465689666065
20260809,71,2,2009177,73,1,1,1,0,233.1465689666065
20260809,71,3,3009180,73,1,1,1,0,233.1465689666065
20260809,72,0,9172,108,2,1,1,0,376.0425874188199
20260809,72,1,1009175,109,2,1,1,0,390.84369958696743
20260809,72,2,2009178,109,2,1,1,0,406.64226088249603
20260809,72,3,3009181,167,3,1,1,0,386.60787970458057
20260809,73,0,9173,52,1,1,1,0,331.86996921267814
20260809,73,1,1009176,52,1,1,1,0,331.86996921267814
20260809,73,2,2009179,52,1,1,1,0,331.86996921267814
20260809,73,3,3009182,52,1,1,1,0,331.86996921267814
20260809,74,0,9174,61,1,1,1,0,398.7787774029572
20260809,74,1,1009177,61,1,1,1,0,398.7787774029572
20260809,74,2,2009180,61,1,1,1,0,398.7787774029572
20260809,74,3,3009183,61,1,1,1,0,398.7787774029572
20260809,75,0,9175,70,1,1,1,0,430.7796585502889
20260809,75,1,1009178,70,1,1,1,0,430.7796585502889
20260809,75,2,2009181,70,1,1,1,0,430.7796585502889
20260809,75,3,3009184,70,1,1,1,0,430.7796585502889
20260809,76,0,9176,122,2,1,1,0,400.65456883751546
20260809,76,1,1009179,521,9,1,1,0,401.85056705268994
20260809,76,2,2009182,109,2,1,1,0,382.80188624662185
20260809,76,3,3009185,161,3,1,1,0,399.1963335122956
20260809,77,0,9177,107,2,1,1,0,341.8447641574207
20260809,77,1,1009180,124,2,1,1,0,340.7392789132111
20260809,77,2,2009183,105,2,1,1,0,391.5529002960732
20260809,77,3,3009186,163,3,1,1,0,356.44109329329376
20260809,78,0,9178,107,2,1,1,0,300.3975389344853
20260809,78,1,1009181,113,2,1,1,0,308.1628174453532
20260809,78,2,2009184,425,7,1,1,0,311.9139395005383
20260809,78,3,3009187,124,2,1,1,0,303.1847278658512
20260809,79,0,9179,47,1,1,1,0,335.311299049251
20260809,79,1,1009182,47,1,1,1,0,335.311299049251
20260809,79,2,2009185,47,1,1,1,0,335.311299049251
20260809,79,3,3009188,47,1,1,1,0,335.311299049251
20260809,80,0,9180,134,2,1,1,0,387.36912720269686
20260809,80,1,1009183,115,2,1,1,0,418.23021437673145
20260809,80,2,2009186,110,2,1,1,0,395.43604899012234
20260809,80,3,3009189,131,2,1,1,0,406.38420067827883
20260809,81,0,9181,131,2,1,1,0,370.2992867812028
20260809,81,1,1009184,94,2,1,1,0,368.5130284866906
20260809,81,2,2009187,170,3,1,1,0,385.697726490603
20260809,81,3,3009190,190,3,1,1,0,368.3113893089175
20260809,82,0,9182,121,2,1,1,0,333.05965671155013
20260809,82,1,1009185,111,2,1,1,0,320.86500456496844
20260809,82,2,2009188,131,2,1,1,0,346.2460994255836
20260809,82,3,3009191,119,2,1,1,0,343.81957447578475
20260809,83,0,9183,61,1,1,1,0,370.4829043143718
20260809,83,1,1009186,61,1,1,1,0,370.4829043143718
20260809,83,2,2009189,61,1,1,1,0,370.4829043143718
20260809,83,3,3009192,61,1,1,1,0,370.4829043143718
20260809,84,0,9184,189,3,1,1,0,455.8206781776741
