variant,iteration_cycles,relay_init_cycles,mean,p50,p90,p95,p99,maximum
original,3788781,969916,726388132.6328125,287022881.5,1448120519.3999996,2257054017.6499977,7381272452.0,7381272452
BA2,3214635,1068955,617117727.34375,243773897.5,1230224497.4999998,1917397629.499998,6270598460.0,6270598460
F1,3236121,999769,620992559.40625,245326904.5,1237966197.2999997,1929476554.0999982,6310067348.0,6310067348
